timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.022,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.022,-11.049,11.049,28.925,0.000,28577.127,400.000,1100,1100
1.032,-11.049,11.049,28.925,0.004,0.000,28.929,1471,1471
1.042,-11.049,11.049,28.925,0.008,0.000,28.933,1471,1471
1.052,-11.049,11.049,28.925,0.012,0.000,28.937,1471,1471
1.062,-11.049,11.049,28.925,0.016,0.000,28.941,1471,1471
1.072,-11.049,11.049,28.925,0.019,0.000,28.945,1471,1471
1.082,-11.049,11.049,28.925,0.023,0.000,28.949,1471,1471
1.092,-11.049,11.049,28.925,0.027,0.000,28.952,1471,1471
1.102,-11.049,11.049,28.925,0.031,0.000,28.956,1471,1471
1.112,-11.049,11.049,28.925,0.035,0.000,28.960,1471,1471
1.122,-11.049,11.049,28.925,0.039,0.000,28.964,1471,1471
1.132,-11.049,11.049,28.925,0.043,0.000,28.968,1471,1471
1.142,-11.049,11.049,28.925,0.046,0.000,28.972,1471,1471
1.152,-11.049,11.049,28.925,0.050,0.000,28.975,1471,1471
1.162,-11.049,11.049,28.925,0.054,0.000,28.979,1471,1471
1.172,-11.049,11.049,28.925,0.058,0.000,28.983,1471,1471
1.182,-11.015,11.015,28.838,0.062,-2.345,26.554,1473,1473
1.192,-11.015,11.015,28.838,0.066,0.000,28.903,1471,1471
1.202,-11.015,11.015,28.838,0.070,0.000,28.907,1471,1471
1.212,-11.015,11.015,28.838,0.073,0.000,28.911,1471,1471
1.222,-11.015,11.015,28.838,0.077,0.000,28.915,1471,1471
1.232,-11.015,11.015,28.838,0.081,0.000,28.919,1471,1471
1.242,-11.015,11.015,28.838,0.085,0.000,28.922,1471,1471
1.252,-11.015,11.015,28.838,0.089,0.000,28.926,1471,1471
1.262,-11.015,11.015,28.838,0.093,0.000,28.930,1471,1471
1.272,-11.015,11.015,28.838,0.096,0.000,28.934,1471,1471
1.282,-11.015,11.015,28.838,0.100,0.000,28.938,1471,1471
1.292,-11.015,11.015,28.838,0.104,0.000,28.942,1471,1471
1.302,-11.015,11.015,28.838,0.108,0.000,28.945,1471,1471
1.312,-11.015,11.015,28.838,0.112,0.000,28.949,1471,1471
1.322,-11.015,11.015,28.838,0.116,0.000,28.953,1471,1471
1.332,-11.015,11.015,28.838,0.119,0.000,28.957,1471,1471
1.342,-11.015,11.015,28.838,0.123,0.000,28.961,1471,1471
1.352,-11.015,11.015,28.838,0.127,0.000,28.965,1471,1471
1.362,-11.015,11.015,28.838,0.131,0.000,28.969,1471,1471
