timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.064,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.064,0.258,0.242,0.000,1.995,0.726,0.000,0.000,5.808,0.000,0.000,1.907,0.000,0.000,0.726,5.808,1.907,1498,1498
1.074,0.258,0.242,0.000,3.590,0.726,0.000,0.000,5.808,0.000,0.000,1.109,0.002,-0.000,0.726,5.808,1.111,1498,1498
1.084,0.258,0.242,0.000,4.867,0.726,0.000,0.000,5.808,0.000,0.000,0.470,0.003,-0.000,0.726,5.808,0.474,1499,1499
1.094,0.258,0.242,0.000,5.888,0.726,0.000,0.000,5.808,0.000,0.000,-0.040,0.003,-0.000,0.726,5.808,-0.037,1500,1500
1.104,0.258,0.242,0.000,6.705,0.726,0.000,0.000,5.808,0.000,0.000,-0.449,0.002,-0.000,0.726,5.808,-0.446,1500,1500
1.114,0.258,0.242,0.000,7.359,0.726,0.000,0.000,5.808,0.000,0.000,-0.775,0.001,-0.000,0.726,5.808,-0.775,1500,1500
1.124,0.258,0.242,0.000,7.882,0.726,0.000,0.000,5.808,0.000,0.000,-1.037,-0.001,-0.000,0.726,5.808,-1.038,1501,1501
1.134,0.258,0.242,0.000,8.300,0.726,0.000,0.000,5.808,0.000,0.000,-1.246,-0.004,-0.000,0.726,5.808,-1.250,1501,1501
1.144,0.258,0.242,0.000,8.635,0.726,0.000,0.000,5.808,0.000,0.000,-1.413,-0.007,-0.000,0.726,5.808,-1.420,1501,1501
1.154,0.258,0.242,0.000,8.902,0.726,0.000,0.000,5.808,0.000,0.000,-1.547,-0.010,-0.000,0.726,5.808,-1.557,1501,1501
1.164,0.258,0.242,0.000,9.117,0.726,0.000,0.000,5.808,0.000,0.000,-1.654,-0.013,-0.000,0.726,5.808,-1.667,1501,1501
1.174,0.258,0.242,0.000,9.288,0.726,0.000,0.000,5.808,0.000,0.000,-1.740,-0.017,-0.000,0.726,5.808,-1.757,1501,1501
1.184,0.258,0.242,0.000,9.425,0.726,0.000,0.000,5.808,0.000,0.000,-1.809,-0.020,-0.000,0.726,5.808,-1.829,1501,1501
1.194,0.258,0.242,0.000,9.535,0.726,0.000,0.000,5.808,0.000,0.000,-1.863,-0.024,-0.000,0.726,5.808,-1.887,1501,1501
1.204,0.258,0.242,0.000,9.622,0.726,0.000,0.000,5.808,0.000,0.000,-1.907,-0.028,-0.000,0.726,5.808,-1.935,1501,1501
1.214,0.258,0.242,0.000,9.693,0.726,0.000,0.000,5.808,0.000,0.000,-1.942,-0.032,-0.000,0.726,5.808,-1.974,1501,1501
1.224,0.258,0.242,0.000,9.749,0.726,0.000,0.000,5.808,0.000,0.000,-1.970,-0.036,-0.000,0.726,5.808,-2.006,1502,1502
1.234,0.258,0.242,0.000,9.794,0.726,0.000,0.000,5.808,0.000,0.000,-1.993,-0.039,-0.000,0.726,5.808,-2.032,1502,1502
1.244,0.258,0.242,0.000,9.828,0.726,0.000,0.000,5.808,0.000,0.000,-2.010,-0.044,-0.000,0.726,5.808,-2.053,1502,1502
1.254,0.257,0.243,0.000,9.855,0.729,0.000,0.000,5.832,0.000,0.000,-2.011,-0.048,-0.000,0.729,5.832,-2.059,1502,1502
1.264,0.257,0.243,0.000,9.877,0.729,0.000,0.000,5.832,0.000,0.000,-2.022,-0.052,-0.000,0.729,5.832,-2.074,1502,1502
1.274,0.257,0.243,0.000,9.894,0.729,0.000,0.000,5.832,0.000,0.000,-2.031,-0.056,-0.000,0.729,5.832,-2.087,1502,1502
1.284,0.257,0.243,0.000,9.908,0.729,0.000,0.000,5.832,0.000,0.000,-2.038,-0.060,-0.000,0.729,5.832,-2.098,1502,1502
1.294,0.257,0.243,0.000,9.919,0.729,0.000,0.000,5.832,0.000,0.000,-2.044,-0.064,-0.000,0.729,5.832,-2.107,1502,1502
1.304,0.257,0.243,0.000,9.928,0.729,0.000,0.000,5.832,0.000,0.000,-2.048,-0.068,-0.000,0.729,5.832,-2.116,1502,1502
1.314,0.257,0.243,0.000,9.935,0.729,0.000,0.000,5.832,0.000,0.000,-2.052,-0.072,-0.000,0.729,5.832,-2.124,1502,1502
1.324,0.257,0.243,0.000,9.941,0.729,0.000,0.000,5.832,0.000,0.000,-2.054,-0.076,-0.000,0.729,5.832,-2.130,1502,1502
1.334,0.257,0.243,0.000,9.945,0.729,0.000,0.000,5.832,0.000,0.000,-2.057,-0.080,-0.000,0.729,5.832,-2.137,1502,1502
1.344,0.257,0.243,0.000,9.949,0.729,0.000,0.000,5.832,0.000,0.000,-2.058,-0.084,-0.000,0.729,5.832,-2.143,1502,1502
1.354,0.257,0.243,0.000,9.952,0.729,0.000,0.000,5.832,0.000,0.000,-2.060,-0.088,-0.000,0.729,5.832,-2.148,1502,1502
1.364,0.257,0.243,0.000,9.954,0.729,0.000,0.000,5.832,0.000,0.000,-2.061,-0.093,-0.000,0.729,5.832,-2.154,1502,1502
1.374,0.257,0.243,0.000,9.956,0.729,0.000,0.000,5.832,0.000,0.000,-2.062,-0.097,-0.000,0.729,5.832,-2.159,1502,1502
1.384,0.257,0.243,0.000,9.958,0.729,0.000,0.000,5.832,0.000,0.000,-2.063,-0.101,-0.000,0.729,5.832,-2.164,1502,1502
1.394,0.257,0.243,0.000,9.959,0.729,0.000,0.000,5.832,0.000,0.000,-2.063,-0.105,-0.000,0.729,5.832,-2.168,1502,1502
1.404,0.257,0.243,0.000,9.960,0.729,0.000,0.000,5.832,0.000,0.000,-2.064,-0.109,-0.000,0.729,5.832,-2.173,1502,1502
1.414,0.257,0.243,0.000,9.960,0.729,0.000,0.000,5.832,0.000,0.000,-2.064,-0.113,-0.000,0.729,5.832,-2.177,1502,1502
1.424,0.257,0.243,0.000,9.961,0.729,0.000,0.000,5.832,0.000,0.000,-2.065,-0.117,-0.000,0.729,5.832,-2.182,1502,1502
1.434,0.257,0.243,0.000,9.962,0.729,0.000,0.000,5.832,0.000,0.000,-2.065,-0.121,-0.000,0.729,5.832,-2.186,1502,1502
