timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.032,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.032,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.000,-0.000,1.080,8.640,-0.515,1502,1502
1.042,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.001,0.000,1.080,8.640,-0.516,1504,1504
1.052,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.002,0.000,1.080,8.640,-0.517,1505,1505
1.062,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.003,0.000,1.080,8.640,-0.518,1505,1505
1.072,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.004,0.000,1.080,8.640,-0.519,1505,1505
1.082,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.005,0.000,1.080,8.640,-0.520,1505,1505
1.092,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.006,0.000,1.080,8.640,-0.521,1505,1505
1.102,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.007,0.000,1.080,8.640,-0.522,1505,1505
1.112,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.008,0.000,1.080,8.640,-0.523,1505,1505
1.122,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.009,0.000,1.080,8.640,-0.524,1505,1505
1.132,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.010,0.000,1.080,8.640,-0.525,1505,1505
1.142,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.011,0.000,1.080,8.640,-0.526,1505,1505
1.152,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.012,0.000,1.080,8.640,-0.527,1505,1505
1.162,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.013,0.000,1.080,8.640,-0.528,1505,1505
1.172,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.014,0.000,1.080,8.640,-0.529,1505,1505
1.182,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.015,0.000,1.080,8.640,-0.530,1505,1505
1.192,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.017,0.000,1.080,8.640,-0.531,1505,1505
1.202,0.140,0.360,0.000,9.669,1.080,0.000,0.000,8.640,0.000,0.000,-0.515,-0.018,0.000,1.080,8.640,-0.532,1505,1505
1.212,0.140,0.360,0.000,9.709,1.080,0.000,0.000,8.640,0.000,0.000,-0.534,-0.019,-0.000,1.080,8.640,-0.553,1506,1506
1.222,0.146,0.354,0.000,9.709,1.062,0.000,-0.000,8.496,0.000,-0.000,-0.606,-0.020,-0.000,1.062,8.496,-0.626,1506,1506
1.233,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.021,0.000,1.062,8.496,-0.627,1506,1506
1.242,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.022,0.000,1.062,8.496,-0.629,1506,1506
1.252,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.023,0.000,1.062,8.496,-0.630,1506,1506
1.262,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.025,0.000,1.062,8.496,-0.631,1506,1506
1.272,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.026,0.000,1.062,8.496,-0.632,1506,1506
1.282,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.027,0.000,1.062,8.496,-0.633,1506,1506
1.292,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.028,0.000,1.062,8.496,-0.635,1506,1506
1.302,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.030,0.000,1.062,8.496,-0.636,1506,1506
1.312,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.031,0.000,1.062,8.496,-0.637,1507,1507
1.322,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.032,0.000,1.062,8.496,-0.638,1507,1507
1.332,0.146,0.354,0.000,9.709,1.062,0.000,0.000,8.496,0.000,0.000,-0.606,-0.033,0.000,1.062,8.496,-0.639,1507,1507
