timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.022,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.022,-10.614,10.614,27.788,0.000,18995.739,400.000,1100,1100
1.032,-10.614,10.614,27.788,0.004,0.000,27.792,1472,1472
1.042,-10.590,10.590,27.725,0.008,-1.662,26.071,1473,1473
1.052,-10.590,10.590,27.725,0.011,0.000,27.737,1472,1472
1.062,-10.590,10.590,27.725,0.015,0.000,27.740,1472,1472
1.072,-10.590,10.590,27.725,0.019,0.000,27.744,1472,1472
1.082,-10.590,10.590,27.725,0.022,0.000,27.748,1472,1472
1.092,-10.590,10.590,27.725,0.026,0.000,27.751,1472,1472
1.102,-10.590,10.590,27.725,0.030,0.000,27.755,1472,1472
1.112,-10.590,10.590,27.725,0.033,0.000,27.759,1472,1472
1.122,-10.590,10.590,27.725,0.037,0.000,27.763,1472,1472
1.132,-10.590,10.590,27.725,0.041,0.000,27.766,1472,1472
1.142,-10.590,10.590,27.725,0.045,0.000,27.770,1472,1472
1.152,-10.590,10.590,27.725,0.048,0.000,27.774,1472,1472
1.162,-10.590,10.590,27.725,0.052,0.000,27.777,1472,1472
1.172,-10.590,10.590,27.725,0.056,0.000,27.781,1472,1472
1.182,-10.590,10.590,27.725,0.059,0.000,27.785,1472,1472
1.192,-10.590,10.590,27.725,0.063,0.000,27.788,1472,1472
1.202,-10.590,10.590,27.725,0.067,0.000,27.792,1472,1472
1.212,-10.590,10.590,27.725,0.070,0.000,27.796,1472,1472
1.222,-10.590,10.590,27.725,0.074,0.000,27.800,1472,1472
1.232,-10.590,10.590,27.725,0.078,0.000,27.803,1472,1472
1.242,-10.590,10.590,27.725,0.082,0.000,27.807,1472,1472
1.252,-10.590,10.590,27.725,0.085,0.000,27.811,1472,1472
1.262,-10.590,10.590,27.725,0.089,0.000,27.814,1472,1472
1.272,-10.590,10.590,27.725,0.093,0.000,27.818,1472,1472
1.282,-10.590,10.590,27.725,0.096,0.000,27.822,1472,1472
1.292,-10.560,10.560,27.645,0.100,-2.150,25.594,1474,1474
1.302,-10.560,10.560,27.645,0.104,0.000,27.749,1472,1472
1.312,-10.560,10.560,27.645,0.107,0.000,27.752,1472,1472
1.322,-10.560,10.560,27.645,0.111,0.000,27.756,1472,1472
1.332,-10.560,10.560,27.645,0.115,0.000,27.760,1472,1472
1.342,-10.560,10.560,27.645,0.118,0.000,27.763,1472,1472
1.352,-10.560,10.560,27.645,0.122,0.000,27.767,1472,1472
1.362,-10.560,10.560,27.645,0.126,0.000,27.771,1472,1472
1.372,-10.560,10.560,27.645,0.129,0.000,27.774,1472,1472
1.382,-10.560,10.560,27.645,0.133,0.000,27.778,1472,1472
1.392,-10.560,10.560,27.645,0.137,0.000,27.782,1472,1472
1.402,-10.560,10.560,27.645,0.141,0.000,27.785,1472,1472
1.412,-10.560,10.560,27.645,0.144,0.000,27.789,1472,1472
1.422,-10.560,10.560,27.645,0.148,0.000,27.793,1472,1472
1.432,-10.560,10.560,27.645,0.152,0.000,27.796,1472,1472
1.442,-10.560,10.560,27.645,0.155,0.000,27.800,1472,1472
1.452,-10.560,10.560,27.645,0.159,0.000,27.804,1472,1472
1.462,-10.560,10.560,27.645,0.163,0.000,27.807,1472,1472
1.472,-10.560,10.560,27.645,0.166,0.000,27.811,1472,1472
1.482,-10.560,10.560,27.645,0.170,0.000,27.815,1472,1472
1.492,-10.560,10.560,27.645,0.174,0.000,27.819,1472,1472
