timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.048,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.048,0.036,0.164,0.000,1.977,0.492,0.000,0.000,3.936,0.000,0.000,0.979,0.000,0.000,0.492,3.936,0.980,1499,1499
1.059,0.036,0.164,0.000,3.559,0.492,0.000,0.000,3.936,0.000,0.000,0.189,0.000,-0.000,0.492,3.936,0.189,1499,1499
1.069,0.036,0.164,0.000,4.824,0.492,0.000,0.000,3.936,0.000,0.000,-0.444,-0.000,-0.000,0.492,3.936,-0.444,1500,1500
1.079,0.036,0.164,0.000,5.836,0.492,0.000,0.000,3.936,0.000,0.000,-0.950,-0.002,-0.000,0.492,3.936,-0.952,1500,1500
1.089,0.036,0.164,0.000,6.646,0.492,0.000,0.000,3.936,0.000,0.000,-1.355,-0.005,-0.000,0.492,3.936,-1.360,1501,1501
1.099,0.036,0.164,0.000,7.294,0.492,0.000,0.000,3.936,0.000,0.000,-1.679,-0.008,-0.000,0.492,3.936,-1.687,1501,1501
1.109,0.036,0.164,0.000,7.812,0.492,0.000,0.000,3.936,0.000,0.000,-1.938,-0.012,-0.000,0.492,3.936,-1.950,1501,1501
1.119,0.036,0.164,0.000,8.227,0.492,0.000,0.000,3.936,0.000,0.000,-2.145,-0.017,-0.000,0.492,3.936,-2.162,1502,1502
1.129,0.036,0.164,0.000,8.558,0.492,0.000,0.000,3.936,0.000,0.000,-2.311,-0.021,-0.000,0.492,3.936,-2.332,1502,1502
1.139,0.036,0.164,0.000,8.824,0.492,0.000,0.000,3.936,0.000,0.000,-2.444,-0.026,-0.000,0.492,3.936,-2.470,1502,1502
1.149,0.036,0.164,0.000,9.036,0.492,0.000,0.000,3.936,0.000,0.000,-2.550,-0.031,-0.000,0.492,3.936,-2.581,1502,1502
1.159,0.036,0.164,0.000,9.206,0.492,0.000,0.000,3.936,0.000,0.000,-2.635,-0.036,-0.000,0.492,3.936,-2.671,1502,1502
1.169,0.036,0.164,0.000,9.342,0.492,0.000,0.000,3.936,0.000,0.000,-2.703,-0.042,-0.000,0.492,3.936,-2.745,1502,1502
1.179,0.036,0.164,0.000,9.450,0.492,0.000,0.000,3.936,0.000,0.000,-2.757,-0.047,-0.000,0.492,3.936,-2.805,1502,1502
1.189,0.036,0.164,0.000,9.537,0.492,0.000,0.000,3.936,0.000,0.000,-2.801,-0.053,-0.000,0.492,3.936,-2.854,1502,1502
1.199,0.036,0.164,0.000,9.607,0.492,0.000,0.000,3.936,0.000,0.000,-2.835,-0.059,-0.000,0.492,3.936,-2.894,1502,1502
1.209,0.036,0.164,0.000,9.663,0.492,0.000,0.000,3.936,0.000,0.000,-2.863,-0.064,-0.000,0.492,3.936,-2.928,1502,1502
1.219,0.040,0.160,0.000,9.711,0.480,0.000,-0.000,3.840,0.000,-0.000,-2.935,-0.070,-0.000,0.480,3.840,-3.006,1503,1503
1.229,0.040,0.160,0.000,9.750,0.480,0.000,0.000,3.840,0.000,0.000,-2.955,-0.076,-0.000,0.480,3.840,-3.031,1503,1503
1.239,0.040,0.160,0.000,9.781,0.480,0.000,0.000,3.840,0.000,0.000,-2.970,-0.082,-0.000,0.480,3.840,-3.052,1503,1503
1.249,0.040,0.160,0.000,9.806,0.480,0.000,0.000,3.840,0.000,0.000,-2.983,-0.088,-0.000,0.480,3.840,-3.071,1503,1503
1.259,0.040,0.160,0.000,9.825,0.480,0.000,0.000,3.840,0.000,0.000,-2.993,-0.094,-0.000,0.480,3.840,-3.087,1503,1503
1.269,0.040,0.160,0.000,9.841,0.480,0.000,0.000,3.840,0.000,0.000,-3.001,-0.100,-0.000,0.480,3.840,-3.101,1503,1503
1.279,0.040,0.160,0.000,9.854,0.480,0.000,0.000,3.840,0.000,0.000,-3.007,-0.106,-0.000,0.480,3.840,-3.113,1503,1503
1.289,0.040,0.160,0.000,9.864,0.480,0.000,0.000,3.840,0.000,0.000,-3.012,-0.112,-0.000,0.480,3.840,-3.124,1503,1503
1.299,0.040,0.160,0.000,9.872,0.480,0.000,0.000,3.840,0.000,0.000,-3.016,-0.118,-0.000,0.480,3.840,-3.134,1503,1503
1.309,0.040,0.160,0.000,9.879,0.480,0.000,0.000,3.840,0.000,0.000,-3.019,-0.124,-0.000,0.480,3.840,-3.144,1503,1503
1.319,0.040,0.160,0.000,9.884,0.480,0.000,0.000,3.840,0.000,0.000,-3.022,-0.130,-0.000,0.480,3.840,-3.152,1503,1503
1.329,0.040,0.160,0.000,9.888,0.480,0.000,0.000,3.840,0.000,0.000,-3.024,-0.136,-0.000,0.480,3.840,-3.160,1503,1503
1.339,0.040,0.160,0.000,9.891,0.480,0.000,0.000,3.840,0.000,0.000,-3.026,-0.142,-0.000,0.480,3.840,-3.168,1503,1503
1.349,0.040,0.160,0.000,9.894,0.480,0.000,0.000,3.840,0.000,0.000,-3.027,-0.148,-0.000,0.480,3.840,-3.175,1503,1503
1.359,0.040,0.160,0.000,9.896,0.480,0.000,0.000,3.840,0.000,0.000,-3.028,-0.154,-0.000,0.480,3.840,-3.183,1503,1503
1.369,0.040,0.160,0.000,9.898,0.480,0.000,0.000,3.840,0.000,0.000,-3.029,-0.160,-0.000,0.480,3.840,-3.189,1503,1503
1.379,0.040,0.160,0.000,9.899,0.480,0.000,0.000,3.840,0.000,0.000,-3.030,-0.167,-0.000,0.480,3.840,-3.196,1503,1503
1.389,0.040,0.160,0.000,9.900,0.480,0.000,0.000,3.840,0.000,0.000,-3.030,-0.173,-0.000,0.480,3.840,-3.203,1503,1503
1.399,0.040,0.160,0.000,9.901,0.480,0.000,0.000,3.840,0.000,0.000,-3.031,-0.179,-0.000,0.480,3.840,-3.209,1503,1503
1.409,0.040,0.160,0.000,9.902,0.480,0.000,0.000,3.840,0.000,0.000,-3.031,-0.185,-0.000,0.480,3.840,-3.216,1503,1503
1.419,0.040,0.160,0.000,9.902,0.480,0.000,0.000,3.840,0.000,0.000,-3.031,-0.191,-0.000,0.480,3.840,-3.222,1503,1503
1.429,0.040,0.160,0.000,9.903,0.480,0.000,0.000,3.840,0.000,0.000,-3.031,-0.197,-0.000,0.480,3.840,-3.228,1503,1503
1.439,0.040,0.160,0.000,9.903,0.480,0.000,0.000,3.840,0.000,0.000,-3.032,-0.203,-0.000,0.480,3.840,-3.235,1503,1503
1.449,0.040,0.160,0.000,9.904,0.480,0.000,0.000,3.840,0.000,0.000,-3.032,-0.209,-0.000,0.480,3.840,-3.241,1503,1503
1.459,0.040,0.160,0.000,9.902,0.480,0.000,0.000,3.840,0.000,0.000,-3.031,-0.215,0.000,0.480,3.840,-3.246,1503,1503
1.469,0.045,0.155,0.000,9.900,0.465,0.000,-0.000,3.720,0.000,-0.000,-3.090,-0.221,-0.000,0.465,3.720,-3.311,1503,1503
1.479,0.045,0.155,0.000,9.899,0.465,0.000,0.000,3.720,0.000,0.000,-3.090,-0.227,0.000,0.465,3.720,-3.317,1503,1503
1.489,0.045,0.155,0.000,9.898,0.465,0.000,0.000,3.720,0.000,0.000,-3.089,-0.234,0.000,0.465,3.720,-3.323,1503,1503
1.499,0.045,0.155,0.000,9.898,0.465,0.000,0.000,3.720,0.000,0.000,-3.089,-0.240,0.000,0.465,3.720,-3.329,1503,1503
1.509,0.045,0.155,0.000,9.897,0.465,0.000,0.000,3.720,0.000,0.000,-3.089,-0.246,0.000,0.465,3.720,-3.335,1503,1503
1.519,0.045,0.155,0.000,9.897,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.252,0.000,0.465,3.720,-3.340,1503,1503
1.529,0.045,0.155,0.000,9.896,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.258,0.000,0.465,3.720,-3.346,1503,1503
1.539,0.045,0.155,0.000,9.896,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.264,0.000,0.465,3.720,-3.352,1503,1503
1.549,0.045,0.155,0.000,9.896,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.271,0.000,0.465,3.720,-3.359,1503,1503
1.559,0.045,0.155,0.000,9.896,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.277,0.000,0.465,3.720,-3.365,1503,1503
1.569,0.045,0.155,0.000,9.896,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.283,0.000,0.465,3.720,-3.371,1503,1503
1.579,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.289,0.000,0.465,3.720,-3.377,1503,1503
1.589,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.295,0.000,0.465,3.720,-3.383,1503,1503
1.599,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.302,0.000,0.465,3.720,-3.389,1503,1503
1.609,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.308,0.000,0.465,3.720,-3.395,1503,1503
1.619,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.314,0.000,0.465,3.720,-3.401,1503,1503
1.629,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.320,0.000,0.465,3.720,-3.408,1503,1503
1.639,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.326,0.000,0.465,3.720,-3.414,1503,1503
1.649,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.088,-0.332,0.000,0.465,3.720,-3.420,1503,1503
1.659,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.339,0.000,0.465,3.720,-3.426,1503,1503
1.669,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.345,0.000,0.465,3.720,-3.432,1503,1503
1.679,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.351,0.000,0.465,3.720,-3.438,1503,1503
1.689,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.357,0.000,0.465,3.720,-3.445,1503,1503
1.699,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.363,0.000,0.465,3.720,-3.451,1503,1503
1.709,0.045,0.155,0.000,9.895,0.465,0.000,0.000,3.720,0.000,0.000,-3.087,-0.369,0.000,0.465,3.720,-3.457,1503,1503
1.719,0.041,0.159,0.000,9.897,0.477,0.000,0.000,3.816,0.000,0.000,-3.040,-0.376,0.000,0.477,3.816,-3.416,1503,1503
1.729,0.041,0.159,0.000,9.898,0.477,0.000,0.000,3.816,0.000,0.000,-3.041,-0.382,-0.000,0.477,3.816,-3.423,1503,1503
1.739,0.041,0.159,0.000,9.900,0.477,0.000,0.000,3.816,0.000,0.000,-3.042,-0.388,-0.000,0.477,3.816,-3.430,1503,1503
1.749,0.041,0.159,0.000,9.901,0.477,0.000,0.000,3.816,0.000,0.000,-3.042,-0.394,-0.000,0.477,3.816,-3.436,1503,1503
1.759,0.041,0.159,0.000,9.902,0.477,0.000,0.000,3.816,0.000,0.000,-3.043,-0.400,-0.000,0.477,3.816,-3.443,1503,1503
1.769,0.041,0.159,0.000,9.902,0.477,0.000,0.000,3.816,0.000,0.000,-3.043,-0.406,-0.000,0.477,3.816,-3.449,1503,1503
1.779,0.041,0.159,0.000,9.903,0.477,0.000,0.000,3.816,0.000,0.000,-3.043,-0.412,-0.000,0.477,3.816,-3.455,1503,1503
1.789,0.041,0.159,0.000,9.903,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.418,-0.000,0.477,3.816,-3.462,1503,1503
1.799,0.041,0.159,0.000,9.903,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.424,-0.000,0.477,3.816,-3.468,1503,1503
1.809,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.430,-0.000,0.477,3.816,-3.474,1503,1503
1.819,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.436,-0.000,0.477,3.816,-3.480,1503,1503
1.829,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.442,-0.000,0.477,3.816,-3.486,1503,1503
1.839,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.449,-0.000,0.477,3.816,-3.493,1503,1503
1.849,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.455,-0.000,0.477,3.816,-3.499,1503,1503
1.859,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.461,-0.000,0.477,3.816,-3.505,1503,1503
1.869,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.467,-0.000,0.477,3.816,-3.511,1503,1503
1.879,0.041,0.159,0.000,9.904,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.473,-0.000,0.477,3.816,-3.517,1503,1503
1.889,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.479,-0.000,0.477,3.816,-3.523,1503,1503
1.899,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.485,-0.000,0.477,3.816,-3.529,1503,1503
1.909,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.491,-0.000,0.477,3.816,-3.535,1503,1503
1.919,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.497,-0.000,0.477,3.816,-3.542,1503,1503
1.929,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.503,-0.000,0.477,3.816,-3.548,1503,1503
1.939,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.509,-0.000,0.477,3.816,-3.554,1503,1503
1.949,0.041,0.159,0.000,9.905,0.477,0.000,0.000,3.816,0.000,0.000,-3.044,-0.516,-0.000,0.477,3.816,-3.560,1503,1503
1.959,0.041,0.159,0.000,9.907,0.477,0.000,0.000,3.816,0.000,0.000,-3.045,-0.522,-0.000,0.477,3.816,-3.567,1503,1503
1.969,0.043,0.157,0.000,9.908,0.471,0.000,-0.000,3.768,0.000,-0.000,-3.070,-0.528,-0.000,0.471,3.768,-3.598,1503,1503
1.979,0.043,0.157,0.000,9.909,0.471,0.000,0.000,3.768,0.000,0.000,-3.071,-0.534,-0.000,0.471,3.768,-3.605,1503,1503
1.989,0.043,0.157,0.000,9.910,0.471,0.000,0.000,3.768,0.000,0.000,-3.071,-0.540,-0.000,0.471,3.768,-3.611,1503,1503
1.999,0.043,0.157,0.000,9.911,0.471,0.000,0.000,3.768,0.000,0.000,-3.072,-0.546,-0.000,0.471,3.768,-3.618,1503,1503
2.009,0.043,0.157,0.000,9.912,0.471,0.000,0.000,3.768,0.000,0.000,-3.072,-0.552,-0.000,0.471,3.768,-3.624,1503,1503
2.019,0.043,0.157,0.000,9.912,0.471,0.000,0.000,3.768,0.000,0.000,-3.072,-0.558,-0.000,0.471,3.768,-3.631,1503,1503
2.029,0.043,0.157,0.000,9.913,0.471,0.000,0.000,3.768,0.000,0.000,-3.072,-0.565,-0.000,0.471,3.768,-3.637,1503,1503
2.039,0.043,0.157,0.000,9.913,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.571,-0.000,0.471,3.768,-3.643,1503,1503
2.049,0.043,0.157,0.000,9.913,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.577,-0.000,0.471,3.768,-3.650,1503,1503
2.059,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.583,-0.000,0.471,3.768,-3.656,1503,1503
2.069,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.589,-0.000,0.471,3.768,-3.662,1503,1503
2.079,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.595,-0.000,0.471,3.768,-3.668,1503,1503
2.089,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.601,-0.000,0.471,3.768,-3.675,1503,1503
2.099,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.608,-0.000,0.471,3.768,-3.681,1503,1503
2.109,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.614,-0.000,0.471,3.768,-3.687,1503,1503
2.119,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.620,-0.000,0.471,3.768,-3.693,1503,1503
2.129,0.043,0.157,0.000,9.914,0.471,0.000,0.000,3.768,0.000,0.000,-3.073,-0.626,-0.000,0.471,3.768,-3.699,1503,1503
