timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.022,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.023,-7.669,7.669,0.000,0.000,0.000,0.000,1500,1500
1.033,-7.669,7.669,13.385,0.003,1330.981,400.000,1495,1495
1.043,-7.669,7.669,13.385,0.005,0.000,13.391,1490,1490
1.053,-7.669,7.669,13.385,0.008,0.000,13.393,1486,1486
1.063,-7.669,7.669,13.385,0.011,0.000,13.396,1486,1486
1.073,-7.669,7.669,13.385,0.013,0.000,13.399,1486,1486
1.083,-7.669,7.669,13.385,0.016,0.000,13.401,1486,1486
1.093,-7.669,7.669,13.385,0.019,0.000,13.404,1486,1486
1.103,-7.669,7.669,13.385,0.021,0.000,13.407,1486,1486
1.113,-7.669,7.669,13.385,0.024,0.000,13.410,1486,1486
1.123,-7.669,7.669,13.385,0.027,0.000,13.412,1486,1486
1.133,-7.669,7.669,13.385,0.029,0.000,13.415,1486,1486
1.143,-7.669,7.669,13.385,0.032,0.000,13.418,1486,1486
1.153,-7.659,7.659,13.367,0.035,-1.822,11.580,1488,1488
1.163,-7.659,7.659,13.367,0.037,0.000,13.405,1486,1486
1.173,-7.659,7.659,13.367,0.040,0.000,13.407,1486,1486
1.183,-7.659,7.659,13.367,0.043,0.000,13.410,1486,1486
1.193,-7.659,7.659,13.367,0.046,0.000,13.413,1486,1486
1.203,-7.659,7.659,13.367,0.048,0.000,13.415,1486,1486
1.213,-7.659,7.659,13.367,0.051,0.000,13.418,1486,1486
1.223,-7.659,7.659,13.367,0.054,0.000,13.421,1486,1486
1.233,-7.659,7.659,13.367,0.056,0.000,13.423,1486,1486
1.243,-7.659,7.659,13.367,0.059,0.000,13.426,1486,1486
1.253,-7.659,7.659,13.367,0.062,0.000,13.429,1486,1486
1.263,-7.659,7.659,13.367,0.064,0.000,13.431,1486,1486
1.273,-7.659,7.659,13.367,0.067,0.000,13.434,1486,1486
1.283,-7.659,7.659,13.367,0.070,0.000,13.437,1486,1486
1.293,-7.659,7.659,13.367,0.072,0.000,13.439,1486,1486
1.303,-7.659,7.659,13.367,0.075,0.000,13.442,1486,1486
1.313,-7.659,7.659,13.367,0.078,0.000,13.445,1486,1486
1.323,-7.659,7.659,13.367,0.080,0.000,13.447,1486,1486
1.333,-7.659,7.659,13.367,0.083,0.000,13.450,1486,1486
1.343,-7.659,7.659,13.367,0.086,0.000,13.453,1486,1486
1.353,-7.659,7.659,13.367,0.088,0.000,13.456,1486,1486
1.363,-7.659,7.659,13.367,0.091,0.000,13.458,1486,1486
1.373,-7.659,7.659,13.367,0.094,0.000,13.461,1486,1486
1.383,-7.659,7.659,13.367,0.096,0.000,13.464,1486,1486
1.393,-7.659,7.659,13.367,0.099,0.000,13.466,1486,1486
1.403,-7.672,7.672,13.390,0.102,2.293,15.784,1484,1484
1.413,-7.672,7.672,13.390,0.104,0.000,13.495,1486,1486
1.423,-7.672,7.672,13.390,0.107,0.000,13.497,1486,1486
1.433,-7.672,7.672,13.390,0.110,0.000,13.500,1486,1486
1.443,-7.672,7.672,13.390,0.112,0.000,13.503,1486,1486
1.453,-7.672,7.672,13.390,0.115,0.000,13.505,1486,1486
1.463,-7.672,7.672,13.390,0.118,0.000,13.508,1486,1486
1.473,-7.672,7.672,13.390,0.120,0.000,13.511,1486,1486
1.483,-7.672,7.672,13.390,0.123,0.000,13.513,1486,1486
1.493,-7.672,7.672,13.390,0.126,0.000,13.516,1486,1486
1.503,-7.672,7.672,13.390,0.128,0.000,13.519,1486,1486
1.513,-7.672,7.672,13.390,0.131,0.000,13.521,1486,1486
1.523,-7.672,7.672,13.390,0.134,0.000,13.524,1486,1486
1.533,-7.672,7.672,13.390,0.136,0.000,13.527,1486,1486
1.543,-7.672,7.672,13.390,0.139,0.000,13.529,1486,1486
1.553,-7.672,7.672,13.390,0.142,0.000,13.532,1486,1486
1.563,-7.672,7.672,13.390,0.145,0.000,13.535,1486,1486
1.573,-7.672,7.672,13.390,0.147,0.000,13.537,1486,1486
1.583,-7.672,7.672,13.390,0.150,0.000,13.540,1486,1486
1.593,-7.672,7.672,13.390,0.153,0.000,13.543,1486,1486
1.603,-7.672,7.672,13.390,0.155,0.000,13.545,1486,1486
1.613,-7.672,7.672,13.390,0.158,0.000,13.548,1486,1486
1.623,-7.672,7.672,13.390,0.161,0.000,13.551,1486,1486
1.633,-7.672,7.672,13.390,0.163,0.000,13.553,1486,1486
1.643,-7.672,7.672,13.390,0.166,0.000,13.556,1486,1486
1.653,-7.688,7.688,13.419,0.169,2.864,16.451,1483,1483
1.663,-7.688,7.688,13.419,0.171,0.000,13.590,1486,1486
1.673,-7.688,7.688,13.419,0.174,0.000,13.593,1486,1486
1.683,-7.688,7.688,13.419,0.177,0.000,13.596,1486,1486
1.693,-7.688,7.688,13.419,0.179,0.000,13.598,1486,1486
1.703,-7.688,7.688,13.419,0.182,0.000,13.601,1486,1486
1.713,-7.688,7.688,13.419,0.185,0.000,13.604,1486,1486
1.723,-7.688,7.688,13.419,0.187,0.000,13.606,1486,1486
1.733,-7.688,7.688,13.419,0.190,0.000,13.609,1486,1486
1.743,-7.688,7.688,13.419,0.193,0.000,13.612,1486,1486
1.753,-7.688,7.688,13.419,0.195,0.000,13.614,1486,1486
1.763,-7.688,7.688,13.419,0.198,0.000,13.617,1486,1486
1.773,-7.688,7.688,13.419,0.201,0.000,13.620,1486,1486
1.783,-7.688,7.688,13.419,0.204,0.000,13.622,1486,1486
1.793,-7.688,7.688,13.419,0.206,0.000,13.625,1486,1486
1.803,-7.688,7.688,13.419,0.209,0.000,13.628,1486,1486
1.813,-7.688,7.688,13.419,0.212,0.000,13.630,1486,1486
1.823,-7.688,7.688,13.419,0.214,0.000,13.633,1486,1486
1.833,-7.688,7.688,13.419,0.217,0.000,13.636,1486,1486
1.843,-7.688,7.688,13.419,0.220,0.000,13.638,1486,1486
1.853,-7.688,7.688,13.419,0.222,0.000,13.641,1486,1486
1.863,-7.688,7.688,13.419,0.225,0.000,13.644,1486,1486
1.873,-7.688,7.688,13.419,0.228,0.000,13.647,1486,1486
1.883,-7.688,7.688,13.419,0.230,0.000,13.649,1486,1486
1.893,-7.658,7.658,13.365,0.233,-5.382,8.216,1491,1491
1.903,-7.658,7.658,13.365,0.236,0.000,13.601,1486,1486
1.913,-7.658,7.658,13.365,0.238,0.000,13.603,1486,1486
1.923,-7.658,7.658,13.365,0.241,0.000,13.606,1486,1486
1.933,-7.658,7.658,13.365,0.244,0.000,13.609,1486,1486
1.943,-7.658,7.658,13.365,0.246,0.000,13.611,1486,1486
1.953,-7.658,7.658,13.365,0.249,0.000,13.614,1486,1486
1.963,-7.658,7.658,13.365,0.252,0.000,13.617,1486,1486
