时间戳,pitch角度,误差,目标角速率,实际角速率,积分项,输出值,电机3PWM,电机4PWM
1.153,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.154,-1.458,1.458,0.000,0.000,0.000,-0.000,1500,1500
1.164,-1.458,1.458,0.000,0.000,0.000,-0.008,1500,1500
1.174,-1.458,1.458,0.000,0.000,0.000,-0.016,1500,1500
1.184,-1.458,1.458,0.000,0.000,0.000,-0.024,1500,1500
1.194,-1.458,1.458,0.000,0.000,0.000,-0.032,1500,1500
1.204,-1.458,1.458,0.000,0.000,0.000,-0.040,1500,1500
1.214,-1.458,1.458,0.000,0.000,0.000,-0.047,1500,1500
1.224,-1.458,1.458,0.000,0.000,0.000,-0.055,1500,1500
1.234,-1.458,1.458,0.000,0.000,0.000,-0.063,1500,1500
1.244,-1.458,1.458,0.000,0.000,0.000,-0.071,1500,1500
1.254,-1.458,1.458,0.000,0.000,0.000,-0.063,1500,1500
1.264,-1.458,1.458,0.000,0.000,0.000,-0.055,1500,1500
1.274,-1.488,1.488,0.000,0.000,0.000,-0.047,1500,1500
1.284,-1.488,1.488,0.000,0.000,0.000,-0.040,1500,1500
1.294,-1.488,1.488,0.000,0.000,0.000,-0.032,1500,1500
1.304,-1.488,1.488,0.000,0.000,0.000,-0.024,1500,1500
1.314,-1.488,1.488,0.000,0.000,0.000,-0.016,1500,1500
1.324,-1.488,1.488,0.000,0.000,0.000,-0.008,1500,1500
1.334,-1.488,1.488,0.000,0.000,0.000,-0.000,1500,1500
1.344,-1.488,1.488,0.000,0.000,0.000,0.008,1499,1499
1.354,-1.488,1.488,0.000,0.000,0.000,0.015,1499,1499
1.364,-1.488,1.488,0.000,0.000,0.000,0.023,1499,1499
1.374,-1.488,1.488,0.000,0.000,0.000,0.031,1499,1499
1.384,-1.488,1.488,0.000,0.000,0.000,0.039,1499,1499
1.394,-1.488,1.488,0.000,0.000,0.000,0.047,1499,1499
1.404,-1.488,1.488,0.000,0.000,0.000,0.055,1499,1499
1.414,-1.488,1.488,0.000,0.000,0.000,0.063,1499,1499
1.424,-1.488,1.488,0.000,0.000,0.000,0.070,1499,1499
1.434,-1.488,1.488,0.000,0.000,0.000,0.078,1499,1499
1.444,-1.488,1.488,0.000,0.000,0.000,0.086,1499,1499
1.454,-1.488,1.488,0.000,0.000,0.000,0.094,1499,1499
1.464,-1.488,1.488,0.000,0.000,0.000,0.102,1499,1499
1.474,-1.488,1.488,0.000,0.000,0.000,0.110,1499,1499
1.484,-1.488,1.488,0.000,0.000,0.000,0.118,1499,1499
1.494,-1.488,1.488,0.000,0.000,0.000,0.125,1499,1499
1.504,-1.488,1.488,0.000,0.000,0.000,0.133,1499,1499
1.514,-1.488,1.488,0.000,0.000,0.000,0.141,1499,1499
1.524,-1.512,1.512,0.000,0.000,0.000,0.143,1499,1499
1.534,-1.512,1.512,0.000,0.000,0.000,0.144,1499,1499
1.544,-1.512,1.512,0.000,0.000,0.000,0.144,1499,1499
1.554,-1.512,1.512,0.000,0.000,0.000,0.145,1499,1499
1.564,-1.512,1.512,0.000,0.000,0.000,0.145,1499,1499
1.574,-1.512,1.512,0.000,0.000,0.000,0.145,1499,1499
1.584,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.594,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.604,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.614,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.624,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.634,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.644,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.654,-1.512,1.512,0.000,0.000,0.000,0.146,1499,1499
1.664,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
1.674,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
1.684,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
1.694,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
1.704,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
1.714,-1.512,1.512,0.000,0.000,0.000,0.147,1499,1499
