timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.022,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.022,-9.735,9.735,0.000,0.000,0.000,0.000,1500,1500
1.033,-9.735,9.735,59.468,0.052,671.448,400.000,1505,1495
1.043,-9.735,9.735,59.468,0.102,0.000,59.571,1510,1490
1.053,-9.735,9.735,59.468,0.154,0.000,59.622,1515,1485
1.062,-9.735,9.735,59.468,0.204,0.000,59.673,1520,1480
1.072,-9.735,9.735,59.468,0.255,0.000,59.724,1525,1475
1.082,-9.735,9.735,59.468,0.306,0.000,59.775,1530,1470
1.092,-9.735,9.735,59.468,0.357,0.000,59.826,1535,1465
1.102,-9.569,9.569,58.455,0.407,-11.564,47.299,1540,1460
1.112,-9.569,9.569,58.455,0.457,0.000,58.913,1545,1455
1.123,-9.569,9.569,58.455,0.508,0.000,58.963,1550,1450
1.133,-9.569,9.569,58.455,0.558,0.000,59.013,1555,1445
1.142,-9.569,9.569,58.455,0.608,0.000,59.063,1560,1440
1.152,-9.569,9.569,58.455,0.658,0.000,59.113,1565,1435
1.162,-9.569,9.569,58.455,0.708,0.000,59.163,1570,1430
1.172,-9.569,9.569,58.455,0.758,0.000,59.213,1575,1425
1.182,-9.569,9.569,58.455,0.808,0.000,59.263,1580,1420
1.192,-9.569,9.569,58.455,0.858,0.000,59.314,1585,1415
1.202,-9.569,9.569,58.455,0.908,0.000,59.364,1589,1411
1.212,-9.569,9.569,58.455,0.958,0.000,59.414,1589,1411
1.222,-9.569,9.569,58.455,1.009,0.000,59.464,1589,1411
1.232,-9.569,9.569,58.455,1.059,0.000,59.514,1589,1411
1.242,-9.569,9.569,58.455,1.109,0.000,59.564,1589,1411
1.252,-9.569,9.569,58.455,1.159,0.000,59.614,1589,1411
1.263,-9.569,9.569,58.455,1.209,0.000,59.664,1589,1411
1.272,-9.569,9.569,58.455,1.259,0.000,59.715,1589,1411
1.282,-9.569,9.569,58.455,1.309,0.000,59.765,1589,1411
1.292,-9.569,9.569,58.455,1.359,0.000,59.815,1589,1411
1.302,-9.569,9.569,58.455,1.409,0.000,59.865,1589,1411
1.313,-9.569,9.569,58.455,1.460,0.000,59.915,1589,1411
1.322,-9.569,9.569,58.455,1.510,0.000,59.965,1589,1411
1.332,-9.569,9.569,58.455,1.560,0.000,60.015,1590,1410
1.342,-9.569,9.569,58.455,1.610,0.000,60.065,1590,1410
1.352,-7.432,7.432,45.399,1.649,-149.207,-102.160,1585,1415
1.362,-7.432,7.432,45.399,1.688,0.000,47.086,1580,1420
1.372,-7.432,7.432,45.399,1.727,0.000,47.125,1577,1423
1.382,-7.432,7.432,45.399,1.765,0.000,47.164,1577,1423
1.392,-7.432,7.432,45.399,1.804,0.000,47.203,1577,1423
1.402,-7.432,7.432,45.399,1.843,0.000,47.242,1577,1423
1.412,-7.432,7.432,45.399,1.882,0.000,47.281,1577,1423
1.422,-7.432,7.432,45.399,1.921,0.000,47.320,1577,1423
1.432,-7.432,7.432,45.399,1.960,0.000,47.359,1577,1423
1.442,-7.432,7.432,45.399,1.999,0.000,47.398,1577,1423
1.453,-7.432,7.432,45.399,2.038,0.000,47.437,1577,1423
1.462,-7.432,7.432,45.399,2.077,0.000,47.476,1577,1423
1.472,-7.432,7.432,45.399,2.116,0.000,47.514,1577,1423
1.482,-7.432,7.432,45.399,2.155,0.000,47.553,1577,1423
