timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.074,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.074,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,-0.000,1.095,8.760,-0.469,1502,1502
1.084,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1504,1504
1.094,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1506,1506
1.104,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1508,1508
1.114,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1510,1510
1.124,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1512,1512
1.134,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1514,1514
1.144,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1516,1516
1.154,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1518,1518
1.164,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1520,1520
1.174,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1522,1522
1.184,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1523,1523
1.194,0.135,0.365,0.000,9.699,1.095,0.000,0.000,8.760,0.000,0.000,-0.469,-0.000,0.000,1.095,8.760,-0.469,1523,1523
