timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.023,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.024,0.172,0.328,0.000,1.957,0.984,0.000,0.000,7.872,0.000,0.000,2.957,0.000,0.000,0.984,7.872,2.957,1497,1497
1.034,0.172,0.328,0.000,3.523,0.984,0.000,0.000,7.872,0.000,0.000,2.174,0.005,-0.000,0.984,7.872,2.179,1494,1494
1.044,0.172,0.328,0.000,4.776,0.984,0.000,0.000,7.872,0.000,0.000,1.548,0.008,-0.000,0.984,7.872,1.556,1491,1491
1.054,0.172,0.328,0.000,5.778,0.984,0.000,0.000,7.872,0.000,0.000,1.047,0.010,-0.000,0.984,7.872,1.057,1488,1488
1.064,0.173,0.327,0.000,6.574,0.981,0.000,-0.000,7.848,0.000,-0.000,0.637,0.011,-0.000,0.981,7.848,0.648,1490,1490
1.074,0.173,0.327,0.000,7.211,0.981,0.000,0.000,7.848,0.000,0.000,0.319,0.012,-0.000,0.981,7.848,0.330,1492,1492
1.084,0.173,0.327,0.000,7.720,0.981,0.000,0.000,7.848,0.000,0.000,0.064,0.012,-0.000,0.981,7.848,0.076,1494,1494
1.094,0.173,0.327,0.000,8.128,0.981,0.000,0.000,7.848,0.000,0.000,-0.140,0.012,-0.000,0.981,7.848,-0.128,1496,1496
1.104,0.173,0.327,0.000,8.454,0.981,0.000,0.000,7.848,0.000,0.000,-0.303,0.011,-0.000,0.981,7.848,-0.292,1498,1498
1.114,0.173,0.327,0.000,8.714,0.981,0.000,0.000,7.848,0.000,0.000,-0.433,0.010,-0.000,0.981,7.848,-0.423,1500,1500
1.124,0.173,0.327,0.000,8.923,0.981,0.000,0.000,7.848,0.000,0.000,-0.538,0.009,-0.000,0.981,7.848,-0.529,1502,1502
1.134,0.173,0.327,0.000,9.090,0.981,0.000,0.000,7.848,0.000,0.000,-0.621,0.008,-0.000,0.981,7.848,-0.613,1504,1504
1.144,0.173,0.327,0.000,9.224,0.981,0.000,0.000,7.848,0.000,0.000,-0.688,0.006,-0.000,0.981,7.848,-0.681,1506,1506
1.154,0.173,0.327,0.000,9.330,0.981,0.000,0.000,7.848,0.000,0.000,-0.741,0.005,-0.000,0.981,7.848,-0.736,1508,1508
1.164,0.173,0.327,0.000,9.416,0.981,0.000,0.000,7.848,0.000,0.000,-0.784,0.003,-0.000,0.981,7.848,-0.781,1508,1508
1.174,0.173,0.327,0.000,9.484,0.981,0.000,0.000,7.848,0.000,0.000,-0.818,0.002,-0.000,0.981,7.848,-0.816,1508,1508
1.184,0.173,0.327,0.000,9.539,0.981,0.000,0.000,7.848,0.000,0.000,-0.845,-0.000,-0.000,0.981,7.848,-0.845,1509,1509
1.194,0.173,0.327,0.000,9.583,0.981,0.000,0.000,7.848,0.000,0.000,-0.867,-0.002,-0.000,0.981,7.848,-0.869,1509,1509
1.204,0.173,0.327,0.000,9.618,0.981,0.000,0.000,7.848,0.000,0.000,-0.885,-0.004,-0.000,0.981,7.848,-0.888,1509,1509
