timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.070,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.070,-6.629,6.629,46.279,0.000,36842.803,400.000,1100,1100
1.080,-6.629,6.629,46.279,0.002,0.000,46.281,1453,1453
1.090,-6.629,6.629,46.279,0.005,0.000,46.284,1453,1453
1.100,-6.629,6.629,46.279,0.007,0.000,46.286,1453,1453
1.110,-6.629,6.629,46.279,0.009,0.000,46.288,1453,1453
1.120,-6.629,6.629,46.279,0.012,0.000,46.290,1453,1453
1.130,-6.629,6.629,46.279,0.014,0.000,46.293,1453,1453
1.140,-6.629,6.629,46.279,0.016,0.000,46.295,1453,1453
1.150,-6.629,6.629,46.279,0.019,0.000,46.297,1453,1453
1.160,-6.629,6.629,46.279,0.021,0.000,46.300,1453,1453
1.170,-6.629,6.629,46.279,0.023,0.000,46.302,1453,1453
1.180,-6.629,6.629,46.279,0.026,0.000,46.304,1453,1453
1.190,-6.629,6.629,46.279,0.028,0.000,46.307,1453,1453
1.200,-6.629,6.629,46.279,0.030,0.000,46.309,1453,1453
1.210,-6.629,6.629,46.279,0.032,0.000,46.311,1453,1453
1.220,-6.629,6.629,46.279,0.035,0.000,46.314,1453,1453
1.230,-6.629,6.629,46.279,0.037,0.000,46.316,1453,1453
1.240,-6.629,6.629,46.279,0.039,0.000,46.318,1453,1453
1.250,-6.629,6.629,46.279,0.042,0.000,46.321,1453,1453
1.260,-6.410,6.410,44.753,0.044,-38.168,6.629,1493,1493
1.270,-6.410,6.410,44.753,0.046,0.000,44.799,1455,1455
1.280,-6.410,6.410,44.753,0.048,0.000,44.801,1455,1455
1.290,-6.410,6.410,44.753,0.051,0.000,44.803,1455,1455
1.300,-6.410,6.410,44.753,0.053,0.000,44.806,1455,1455
1.310,-6.410,6.410,44.753,0.055,0.000,44.808,1455,1455
1.320,-6.410,6.410,44.753,0.057,0.000,44.810,1455,1455
1.330,-6.410,6.410,44.753,0.060,0.000,44.812,1455,1455
1.340,-6.410,6.410,44.753,0.062,0.000,44.814,1455,1455
1.350,-6.410,6.410,44.753,0.064,0.000,44.817,1455,1455
1.360,-6.410,6.410,44.753,0.066,0.000,44.819,1455,1455
1.370,-6.410,6.410,44.753,0.069,0.000,44.821,1455,1455
1.380,-6.410,6.410,44.753,0.071,0.000,44.823,1455,1455
1.390,-6.410,6.410,44.753,0.073,0.000,44.826,1455,1455
1.400,-6.410,6.410,44.753,0.075,0.000,44.828,1455,1455
1.410,-6.410,6.410,44.753,0.078,0.000,44.830,1455,1455
1.420,-6.410,6.410,44.753,0.080,0.000,44.832,1455,1455
1.430,-6.410,6.410,44.753,0.082,0.000,44.835,1455,1455
1.440,-6.410,6.410,44.753,0.084,0.000,44.837,1455,1455
1.450,-6.410,6.410,44.753,0.086,0.000,44.839,1455,1455
1.460,-6.410,6.410,44.753,0.089,0.000,44.841,1455,1455
1.470,-6.410,6.410,44.753,0.091,0.000,44.844,1455,1455
1.480,-6.410,6.410,44.753,0.093,0.000,44.846,1455,1455
1.490,-6.410,6.410,44.753,0.095,0.000,44.848,1455,1455
1.500,-6.410,6.410,44.753,0.098,0.000,44.850,1455,1455
1.510,-4.014,4.014,28.026,0.099,-418.158,-390.033,1890,1890
1.520,-4.014,4.014,28.026,0.100,0.000,28.127,1471,1471
1.530,-4.014,4.014,28.026,0.102,0.000,28.128,1471,1471
1.540,-4.014,4.014,28.026,0.103,0.000,28.130,1471,1471
1.550,-4.014,4.014,28.026,0.105,0.000,28.131,1471,1471
1.560,-4.014,4.014,28.026,0.106,0.000,28.133,1471,1471
1.570,-4.014,4.014,28.026,0.107,0.000,28.134,1471,1471
1.580,-4.014,4.014,28.026,0.109,0.000,28.135,1471,1471
1.590,-4.014,4.014,28.026,0.110,0.000,28.137,1471,1471
1.600,-4.014,4.014,28.026,0.112,0.000,28.138,1471,1471
1.610,-4.014,4.014,28.026,0.113,0.000,28.140,1471,1471
1.621,-4.014,4.014,28.026,0.115,0.000,28.141,1471,1471
1.630,-4.014,4.014,28.026,0.116,0.000,28.142,1471,1471
1.640,-4.014,4.014,28.026,0.117,0.000,28.144,1471,1471
1.650,-4.014,4.014,28.026,0.119,0.000,28.145,1471,1471
1.660,-4.014,4.014,28.026,0.120,0.000,28.147,1471,1471
1.670,-4.014,4.014,28.026,0.122,0.000,28.148,1471,1471
1.680,-4.014,4.014,28.026,0.123,0.000,28.149,1471,1471
1.690,-4.014,4.014,28.026,0.124,0.000,28.151,1471,1471
1.700,-4.014,4.014,28.026,0.126,0.000,28.152,1471,1471
1.710,-4.014,4.014,28.026,0.127,0.000,28.154,1471,1471
1.720,-4.014,4.014,28.026,0.129,0.000,28.155,1471,1471
1.730,-4.014,4.014,28.026,0.130,0.000,28.156,1471,1471
1.740,-4.014,4.014,28.026,0.131,0.000,28.158,1471,1471
1.750,-4.014,4.014,28.026,0.133,0.000,28.159,1471,1471
1.760,-2.431,2.431,16.973,0.134,-276.346,-259.239,1759,1759
1.770,-2.431,2.431,16.973,0.134,0.000,17.108,1482,1482
1.780,-2.431,2.431,16.973,0.135,0.000,17.109,1482,1482
1.790,-2.431,2.431,16.973,0.136,0.000,17.109,1482,1482
1.800,-2.431,2.431,16.973,0.137,0.000,17.110,1482,1482
1.810,-2.431,2.431,16.973,0.138,0.000,17.111,1482,1482
1.820,-2.431,2.431,16.973,0.139,0.000,17.112,1482,1482
1.830,-2.431,2.431,16.973,0.140,0.000,17.113,1482,1482
1.840,-2.431,2.431,16.973,0.140,0.000,17.114,1482,1482
1.850,-2.431,2.431,16.973,0.141,0.000,17.115,1482,1482
