timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.029,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.029,-7.555,7.555,131.855,0.000,18450.848,400.000,1100,1100
1.039,-7.555,7.555,131.855,0.003,0.000,131.858,1368,1368
1.049,-7.555,7.555,131.855,0.005,0.000,131.860,1368,1368
1.059,-7.555,7.555,131.855,0.008,0.000,131.863,1368,1368
1.069,-7.555,7.555,131.855,0.011,0.000,131.865,1368,1368
1.079,-7.555,7.555,131.855,0.013,0.000,131.868,1368,1368
1.089,-7.555,7.555,131.855,0.016,0.000,131.871,1368,1368
1.099,-7.555,7.555,131.855,0.019,0.000,131.873,1368,1368
1.109,-7.555,7.555,131.855,0.021,0.000,131.876,1368,1368
1.119,-7.555,7.555,131.855,0.024,0.000,131.879,1368,1368
1.129,-7.555,7.555,131.855,0.026,0.000,131.881,1368,1368
1.139,-7.555,7.555,131.855,0.029,0.000,131.884,1368,1368
1.149,-7.555,7.555,131.855,0.032,0.000,131.887,1368,1368
1.159,-7.555,7.555,131.855,0.034,0.000,131.889,1368,1368
1.169,-7.256,7.256,126.649,0.037,-20.829,105.858,1394,1394
1.179,-7.256,7.256,126.649,0.039,0.000,126.689,1373,1373
1.189,-7.256,7.256,126.649,0.042,0.000,126.691,1373,1373
1.199,-7.256,7.256,126.649,0.045,0.000,126.694,1373,1373
1.209,-7.256,7.256,126.649,0.047,0.000,126.696,1373,1373
1.219,-7.256,7.256,126.649,0.050,0.000,126.699,1373,1373
1.229,-7.256,7.256,126.649,0.052,0.000,126.701,1373,1373
1.239,-7.256,7.256,126.649,0.055,0.000,126.704,1373,1373
1.249,-7.256,7.256,126.649,0.057,0.000,126.707,1373,1373
1.259,-7.256,7.256,126.649,0.060,0.000,126.709,1373,1373
1.269,-7.256,7.256,126.649,0.062,0.000,126.712,1373,1373
1.279,-7.256,7.256,126.649,0.065,0.000,126.714,1373,1373
1.289,-7.256,7.256,126.649,0.067,0.000,126.717,1373,1373
1.299,-7.256,7.256,126.649,0.070,0.000,126.719,1373,1373
1.309,-7.256,7.256,126.649,0.072,0.000,126.722,1373,1373
1.319,-7.256,7.256,126.649,0.075,0.000,126.724,1373,1373
1.329,-7.256,7.256,126.649,0.077,0.000,126.727,1373,1373
1.339,-7.256,7.256,126.649,0.080,0.000,126.729,1373,1373
1.349,-7.256,7.256,126.649,0.083,0.000,126.732,1373,1373
1.359,-7.256,7.256,126.649,0.085,0.000,126.734,1373,1373
1.369,-7.256,7.256,126.649,0.088,0.000,126.737,1373,1373
1.379,-7.256,7.256,126.649,0.090,0.000,126.739,1373,1373
1.389,-7.256,7.256,126.649,0.093,0.000,126.742,1373,1373
1.399,-7.256,7.256,126.649,0.095,0.000,126.745,1373,1373
1.409,-7.256,7.256,126.649,0.098,0.000,126.747,1373,1373
1.419,-7.417,7.417,129.447,0.100,11.158,140.705,1359,1359
1.429,-7.417,7.417,129.447,0.103,0.000,129.550,1370,1370
1.439,-7.417,7.417,129.447,0.105,0.000,129.552,1370,1370
1.449,-7.417,7.417,129.447,0.108,0.000,129.555,1370,1370
1.459,-7.417,7.417,129.447,0.111,0.000,129.558,1370,1370
1.469,-7.417,7.417,129.447,0.113,0.000,129.560,1370,1370
1.479,-7.417,7.417,129.447,0.116,0.000,129.563,1370,1370
1.489,-7.417,7.417,129.447,0.118,0.000,129.565,1370,1370
1.499,-7.417,7.417,129.447,0.121,0.000,129.568,1370,1370
1.509,-7.417,7.417,129.447,0.124,0.000,129.571,1370,1370
1.519,-7.417,7.417,129.447,0.126,0.000,129.573,1370,1370
1.529,-7.417,7.417,129.447,0.129,0.000,129.576,1370,1370
1.539,-7.417,7.417,129.447,0.131,0.000,129.578,1370,1370
1.549,-7.417,7.417,129.447,0.134,0.000,129.581,1370,1370
