timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.021,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.022,-6.589,6.589,28.752,0.000,33576.947,400.000,1100,1100
1.032,-6.589,6.589,28.752,0.002,0.000,28.754,1471,1471
1.042,-6.589,6.589,28.752,0.005,0.000,28.757,1471,1471
1.052,-6.535,6.535,28.514,0.007,-9.516,19.006,1480,1480
1.062,-6.535,6.535,28.514,0.009,0.000,28.523,1471,1471
1.072,-6.535,6.535,28.514,0.012,0.000,28.526,1471,1471
1.082,-6.535,6.535,28.514,0.014,0.000,28.528,1471,1471
1.092,-6.535,6.535,28.514,0.016,0.000,28.530,1471,1471
1.102,-6.535,6.535,28.514,0.018,0.000,28.533,1471,1471
1.112,-6.535,6.535,28.514,0.021,0.000,28.535,1471,1471
1.122,-6.535,6.535,28.514,0.023,0.000,28.537,1471,1471
1.132,-6.535,6.535,28.514,0.025,0.000,28.539,1471,1471
1.142,-6.535,6.535,28.514,0.028,0.000,28.542,1471,1471
1.152,-6.535,6.535,28.514,0.030,0.000,28.544,1471,1471
1.162,-6.535,6.535,28.514,0.032,0.000,28.546,1471,1471
1.172,-6.535,6.535,28.514,0.034,0.000,28.549,1471,1471
1.182,-6.535,6.535,28.514,0.037,0.000,28.551,1471,1471
1.192,-6.535,6.535,28.514,0.039,0.000,28.553,1471,1471
1.202,-6.535,6.535,28.514,0.041,0.000,28.555,1471,1471
1.212,-6.535,6.535,28.514,0.043,0.000,28.558,1471,1471
1.222,-6.535,6.535,28.514,0.046,0.000,28.560,1471,1471
1.232,-6.535,6.535,28.514,0.048,0.000,28.562,1471,1471
1.242,-6.535,6.535,28.514,0.050,0.000,28.565,1471,1471
1.252,-6.535,6.535,28.514,0.053,0.000,28.567,1471,1471
1.262,-6.535,6.535,28.514,0.055,0.000,28.569,1471,1471
1.272,-6.535,6.535,28.514,0.057,0.000,28.571,1471,1471
1.282,-6.535,6.535,28.514,0.059,0.000,28.574,1471,1471
1.292,-6.535,6.535,28.514,0.062,0.000,28.576,1471,1471
1.302,-6.191,6.191,27.012,0.064,-60.017,-32.941,1532,1532
1.312,-6.191,6.191,27.012,0.066,0.000,27.078,1472,1472
1.322,-6.191,6.191,27.012,0.068,0.000,27.080,1472,1472
1.332,-6.191,6.191,27.012,0.070,0.000,27.083,1472,1472
1.342,-6.191,6.191,27.012,0.073,0.000,27.085,1472,1472
1.352,-6.191,6.191,27.012,0.075,0.000,27.087,1472,1472
1.362,-6.191,6.191,27.012,0.077,0.000,27.089,1472,1472
1.372,-6.191,6.191,27.012,0.079,0.000,27.091,1472,1472
1.382,-6.191,6.191,27.012,0.081,0.000,27.093,1472,1472
1.392,-6.191,6.191,27.012,0.083,0.000,27.096,1472,1472
1.402,-6.191,6.191,27.012,0.085,0.000,27.098,1472,1472
1.412,-6.191,6.191,27.012,0.088,0.000,27.100,1472,1472
1.422,-6.191,6.191,27.012,0.090,0.000,27.102,1472,1472
1.432,-6.191,6.191,27.012,0.092,0.000,27.104,1472,1472
1.442,-6.191,6.191,27.012,0.094,0.000,27.106,1472,1472
1.452,-6.191,6.191,27.012,0.096,0.000,27.108,1472,1472
1.462,-6.191,6.191,27.012,0.098,0.000,27.111,1472,1472
1.472,-6.191,6.191,27.012,0.101,0.000,27.113,1472,1472
1.482,-6.191,6.191,27.012,0.103,0.000,27.115,1472,1472
1.492,-6.191,6.191,27.012,0.105,0.000,27.117,1472,1472
1.502,-6.191,6.191,27.012,0.107,0.000,27.119,1472,1472
1.512,-6.191,6.191,27.012,0.109,0.000,27.121,1472,1472
1.522,-6.191,6.191,27.012,0.111,0.000,27.124,1472,1472
1.532,-6.191,6.191,27.012,0.114,0.000,27.126,1472,1472
1.542,-6.191,6.191,27.012,0.116,0.000,27.128,1472,1472
1.552,-6.991,6.991,30.504,0.118,139.881,170.503,1329,1329
