timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.127,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.127,0.310,0.190,0.000,0.014,0.570,0.000,0.000,4.560,0.000,0.000,2.273,0.000,0.000,0.570,4.560,2.273,1497,1497
1.138,0.310,0.190,0.000,0.024,0.570,0.000,0.000,4.560,0.000,0.000,2.268,0.000,-0.000,0.570,4.560,2.268,1494,1494
1.147,0.307,0.193,-0.002,0.019,0.579,0.000,0.000,4.648,0.000,0.000,2.315,0.000,0.000,0.579,4.648,2.315,1491,1491
1.158,0.307,0.193,-0.004,0.015,0.579,0.000,0.000,4.661,0.000,0.000,2.323,0.000,0.000,0.579,4.661,2.323,1488,1488
1.167,0.307,0.193,-0.005,0.013,0.579,0.000,0.000,4.671,0.000,0.000,2.329,0.000,0.000,0.579,4.671,2.329,1485,1485
1.178,0.307,0.193,-0.006,0.011,0.579,0.000,0.000,4.679,0.000,0.000,2.334,0.000,0.000,0.579,4.679,2.334,1482,1482
1.188,0.307,0.193,-0.007,0.010,0.579,0.000,0.000,4.686,0.000,0.000,2.338,0.000,0.000,0.579,4.686,2.338,1479,1479
1.198,0.307,0.193,-0.007,0.009,0.579,0.000,0.000,4.691,0.000,0.000,2.341,0.000,0.000,0.579,4.691,2.341,1476,1476
1.207,0.307,0.193,-0.008,0.008,0.579,0.000,0.000,4.695,0.000,0.000,2.343,0.000,0.000,0.579,4.695,2.343,1476,1476
1.218,0.307,0.193,-0.008,0.008,0.579,0.000,0.000,4.699,0.000,0.000,2.345,0.000,0.000,0.579,4.699,2.345,1476,1476
1.227,0.307,0.193,-0.009,0.008,0.579,0.000,0.000,4.701,0.000,0.000,2.347,0.000,0.000,0.579,4.701,2.347,1476,1476
1.238,0.307,0.193,-0.009,0.007,0.579,0.000,0.000,4.703,0.000,0.000,2.348,0.000,0.000,0.579,4.703,2.348,1476,1476
1.247,0.307,0.193,-0.009,0.007,0.579,0.000,0.000,4.705,0.000,0.000,2.349,0.000,0.000,0.579,4.705,2.349,1476,1476
1.258,0.307,0.193,-0.009,0.007,0.579,0.000,0.000,4.707,0.000,0.000,2.350,0.000,0.000,0.579,4.707,2.350,1476,1476
1.267,0.307,0.193,-0.009,0.007,0.579,0.000,0.000,4.708,0.000,0.000,2.350,0.000,0.000,0.579,4.708,2.350,1476,1476
1.278,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.708,0.000,0.000,2.351,0.000,0.000,0.579,4.708,2.351,1476,1476
1.288,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.709,0.000,0.000,2.351,0.000,0.000,0.579,4.709,2.351,1476,1476
1.298,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.710,0.000,0.000,2.351,0.000,0.000,0.579,4.710,2.351,1476,1476
1.307,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.710,0.000,0.000,2.352,0.000,0.000,0.579,4.710,2.352,1476,1476
1.318,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.711,0.000,0.000,2.352,0.000,0.000,0.579,4.711,2.352,1476,1476
1.328,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.711,0.000,0.000,2.352,0.000,0.000,0.579,4.711,2.352,1476,1476
1.338,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.711,0.000,0.000,2.352,0.000,0.000,0.579,4.711,2.352,1476,1476
1.348,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.711,0.000,0.000,2.352,0.000,0.000,0.579,4.711,2.352,1476,1476
1.358,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.711,0.000,0.000,2.352,0.000,0.000,0.579,4.711,2.352,1476,1476
1.368,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.712,0.000,0.000,2.352,0.000,0.000,0.579,4.712,2.352,1476,1476
1.378,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.712,0.000,0.000,2.352,0.000,0.000,0.579,4.712,2.352,1476,1476
1.388,0.307,0.193,-0.010,0.007,0.579,0.000,0.000,4.712,0.000,0.000,2.352,0.000,0.000,0.579,4.712,2.352,1476,1476
1.398,0.311,0.189,-0.010,0.016,0.567,0.000,-0.000,4.616,0.000,-0.000,2.300,0.000,-0.000,0.567,4.616,2.300,1477,1477
1.407,0.311,0.189,-0.010,0.022,0.567,0.000,0.000,4.616,0.000,0.000,2.297,0.000,-0.000,0.567,4.616,2.297,1477,1477
1.418,0.311,0.189,-0.010,0.026,0.567,0.000,0.000,4.616,0.000,0.000,2.295,0.000,-0.000,0.567,4.616,2.295,1477,1477
1.427,0.311,0.189,-0.010,0.029,0.567,0.000,0.000,4.616,0.000,0.000,2.293,0.000,-0.000,0.567,4.616,2.293,1477,1477
1.437,0.311,0.189,-0.010,0.031,0.567,0.000,0.000,4.616,0.000,0.000,2.292,0.000,-0.000,0.567,4.616,2.292,1477,1477
1.447,0.311,0.189,-0.010,0.033,0.567,0.000,0.000,4.616,0.000,0.000,2.291,0.000,-0.000,0.567,4.616,2.291,1477,1477
1.457,0.311,0.189,-0.010,0.034,0.567,0.000,0.000,4.616,0.000,0.000,2.291,0.000,-0.000,0.567,4.616,2.291,1477,1477
1.467,0.311,0.189,-0.010,0.035,0.567,0.000,0.000,4.616,0.000,0.000,2.291,0.000,-0.000,0.567,4.616,2.291,1477,1477
1.478,0.311,0.189,-0.010,0.035,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.487,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.497,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.508,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.518,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.528,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.537,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.547,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
1.557,0.311,0.189,-0.010,0.036,0.567,0.000,0.000,4.616,0.000,0.000,2.290,0.000,-0.000,0.567,4.616,2.290,1477,1477
