timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.021,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.022,-9.357,9.357,163.315,0.000,20120.149,400.000,1100,1900
1.032,-9.357,9.357,163.315,0.003,0.000,163.318,1336,1663
1.042,-9.357,9.357,163.315,0.007,0.000,163.321,1336,1663
1.052,-9.357,9.357,163.315,0.010,0.000,163.325,1336,1663
1.062,-9.357,9.357,163.315,0.013,0.000,163.328,1336,1663
1.072,-9.357,9.357,163.315,0.016,0.000,163.331,1336,1663
1.082,-9.357,9.357,163.315,0.020,0.000,163.334,1336,1663
1.092,-9.357,9.357,163.315,0.023,0.000,163.338,1336,1663
1.102,-9.357,9.357,163.315,0.026,0.000,163.341,1336,1663
1.112,-9.357,9.357,163.315,0.030,0.000,163.344,1336,1663
1.122,-9.357,9.357,163.315,0.033,0.000,163.348,1336,1663
1.132,-9.357,9.357,163.315,0.036,0.000,163.351,1336,1663
1.142,-9.357,9.357,163.315,0.039,0.000,163.354,1336,1663
1.152,-9.357,9.357,163.315,0.043,0.000,163.357,1336,1663
1.162,-9.357,9.357,163.315,0.046,0.000,163.361,1336,1663
1.172,-9.357,9.357,163.315,0.049,0.000,163.364,1336,1663
1.182,-9.357,9.357,163.315,0.052,0.000,163.367,1336,1663
1.192,-9.357,9.357,163.315,0.056,0.000,163.370,1336,1663
1.202,-9.357,9.357,163.315,0.059,0.000,163.374,1336,1663
1.212,-9.357,9.357,163.315,0.062,0.000,163.377,1336,1663
1.222,-9.357,9.357,163.315,0.065,0.000,163.380,1336,1663
1.232,-9.357,9.357,163.315,0.069,0.000,163.383,1336,1663
1.242,-9.357,9.357,163.315,0.072,0.000,163.387,1336,1663
1.252,-9.357,9.357,163.315,0.075,0.000,163.390,1336,1663
1.262,-9.357,9.357,163.315,0.079,0.000,163.393,1336,1663
1.272,-9.357,9.357,163.315,0.082,0.000,163.397,1336,1663
1.282,-9.357,9.357,163.315,0.085,0.000,163.400,1336,1663
1.292,-9.357,9.357,163.315,0.088,0.000,163.403,1336,1663
1.302,-9.357,9.357,163.315,0.092,0.000,163.406,1336,1663
1.312,-9.357,9.357,163.315,0.095,0.000,163.410,1336,1663
1.322,-9.357,9.357,163.315,0.098,0.000,163.413,1336,1663
1.332,-9.357,9.357,163.315,0.101,0.000,163.416,1336,1663
1.342,-9.357,9.357,163.315,0.105,0.000,163.419,1336,1663
1.352,-9.357,9.357,163.315,0.108,0.000,163.423,1336,1663
1.362,-9.357,9.357,163.315,0.111,0.000,163.426,1336,1663
1.372,-9.357,9.357,163.315,0.114,0.000,163.429,1336,1663
1.382,-9.357,9.357,163.315,0.118,0.000,163.432,1336,1663
1.392,-9.357,9.357,163.315,0.121,0.000,163.436,1336,1663
1.402,-9.357,9.357,163.315,0.124,0.000,163.439,1336,1663
1.412,-9.357,9.357,163.315,0.128,0.000,163.442,1336,1663
1.422,-9.357,9.357,163.315,0.131,0.000,163.446,1336,1663
1.432,-9.357,9.357,163.315,0.134,0.000,163.449,1336,1663
1.442,-9.357,9.357,163.315,0.137,0.000,163.452,1336,1663
1.452,-9.357,9.357,163.315,0.141,0.000,163.455,1336,1663
1.462,-9.357,9.357,163.315,0.144,0.000,163.459,1336,1663
1.472,-9.357,9.357,163.315,0.147,0.000,163.462,1336,1663
1.482,-9.357,9.357,163.315,0.150,0.000,163.465,1336,1663
1.492,-9.357,9.357,163.315,0.154,0.000,163.468,1336,1663
1.502,-9.357,9.357,163.315,0.157,0.000,163.472,1336,1663
1.512,-9.357,9.357,163.315,0.160,0.000,163.475,1336,1663
1.522,-9.357,9.357,163.315,0.163,0.000,163.478,1336,1663
1.532,-9.357,9.357,163.315,0.167,0.000,163.481,1336,1663
1.542,-9.357,9.357,163.315,0.170,0.000,163.485,1336,1663
1.552,-9.357,9.357,163.315,0.173,0.000,163.488,1336,1663
1.562,-9.357,9.357,163.315,0.177,0.000,163.491,1336,1663
1.572,-9.357,9.357,163.315,0.180,0.000,163.495,1336,1663
1.582,-9.357,9.357,163.315,0.183,0.000,163.498,1336,1663
1.592,-9.357,9.357,163.315,0.186,0.000,163.501,1336,1663
1.602,-9.357,9.357,163.315,0.190,0.000,163.504,1336,1663
1.612,-9.357,9.357,163.315,0.193,0.000,163.508,1336,1663
1.622,-9.357,9.357,163.315,0.196,0.000,163.511,1336,1663
1.632,-9.357,9.357,163.315,0.199,0.000,163.514,1336,1663
1.642,-9.357,9.357,163.315,0.203,0.000,163.517,1336,1663
1.652,-9.357,9.357,163.315,0.206,0.000,163.521,1336,1663
1.662,-9.357,9.357,163.315,0.209,0.000,163.524,1336,1663
1.672,-9.357,9.357,163.315,0.212,0.000,163.527,1336,1663
1.682,-9.357,9.357,163.315,0.216,0.000,163.530,1336,1663
1.692,-9.357,9.357,163.315,0.219,0.000,163.534,1336,1663
1.702,-9.357,9.357,163.315,0.222,0.000,163.537,1336,1663
1.712,-9.357,9.357,163.315,0.226,0.000,163.540,1336,1663
1.722,-9.357,9.357,163.315,0.229,0.000,163.544,1336,1663
1.732,-9.357,9.357,163.315,0.232,0.000,163.547,1336,1663
1.742,-9.357,9.357,163.315,0.235,0.000,163.550,1336,1663
1.752,-9.357,9.357,163.315,0.239,0.000,163.553,1336,1663
1.762,-9.357,9.357,163.315,0.242,0.000,163.557,1336,1663
1.772,-9.357,9.357,163.315,0.245,0.000,163.560,1336,1663
1.782,-9.357,9.357,163.315,0.248,0.000,163.563,1336,1663
1.792,-9.357,9.357,163.315,0.252,0.000,163.566,1336,1663
1.802,-9.357,9.357,163.315,0.255,0.000,163.570,1336,1663
1.812,-9.357,9.357,163.315,0.258,0.000,163.573,1336,1663
1.822,-9.357,9.357,163.315,0.261,0.000,163.576,1336,1663
1.832,-9.357,9.357,163.315,0.265,0.000,163.579,1336,1663
1.842,-9.357,9.357,163.315,0.268,0.000,163.583,1336,1663
1.852,-9.357,9.357,163.315,0.271,0.000,163.586,1336,1663
1.862,-9.357,9.357,163.315,0.275,0.000,163.589,1336,1663
1.872,-24.192,24.192,422.233,0.283,1035.629,400.000,1100,1900
1.882,-24.192,24.192,422.233,0.291,0.000,400.000,1100,1900
1.892,-24.192,24.192,422.233,0.300,0.000,400.000,1100,1900
1.902,-24.192,24.192,422.233,0.308,0.000,400.000,1100,1900
1.912,-24.192,24.192,422.233,0.317,0.000,400.000,1100,1900
1.922,-24.192,24.192,422.233,0.325,0.000,400.000,1100,1900
1.932,-24.192,24.192,422.233,0.334,0.000,400.000,1100,1900
1.942,-24.192,24.192,422.233,0.342,0.000,400.000,1100,1900
1.952,-24.192,24.192,422.233,0.351,0.000,400.000,1100,1900
1.962,-24.192,24.192,422.233,0.359,0.000,400.000,1100,1900
1.972,-24.192,24.192,422.233,0.367,0.000,400.000,1100,1900
1.982,-24.192,24.192,422.233,0.376,0.000,400.000,1100,1900
1.992,-24.192,24.192,422.233,0.384,0.000,400.000,1100,1900
2.002,-24.192,24.192,422.233,0.393,0.000,400.000,1100,1900
2.012,-24.192,24.192,422.233,0.401,0.000,400.000,1100,1900
2.022,-24.192,24.192,422.233,0.410,0.000,400.000,1100,1900
2.032,-24.192,24.192,422.233,0.418,0.000,400.000,1100,1900
2.042,-24.192,24.192,422.233,0.427,0.000,400.000,1100,1900
2.052,-24.192,24.192,422.233,0.435,0.000,400.000,1100,1900
2.062,-24.192,24.192,422.233,0.443,0.000,400.000,1100,1900
2.072,-24.192,24.192,422.233,0.452,0.000,400.000,1100,1900
2.082,-24.192,24.192,422.233,0.460,0.000,400.000,1100,1900
2.092,-24.192,24.192,422.233,0.469,0.000,400.000,1100,1900
2.102,-24.192,24.192,422.233,0.477,0.000,400.000,1100,1900
2.112,-24.192,24.192,422.233,0.486,0.000,400.000,1100,1900
2.122,-24.192,24.192,422.233,0.494,0.000,400.000,1100,1900
2.132,-24.192,24.192,422.233,0.503,0.000,400.000,1100,1900
2.142,-24.192,24.192,422.233,0.511,0.000,400.000,1100,1900
2.152,-24.192,24.192,422.233,0.519,0.000,400.000,1100,1900
2.162,-24.192,24.192,422.233,0.528,0.000,400.000,1100,1900
2.172,-24.192,24.192,422.233,0.536,0.000,400.000,1100,1900
2.182,-24.192,24.192,422.233,0.545,0.000,400.000,1100,1900
2.192,-24.192,24.192,422.233,0.553,0.000,400.000,1100,1900
2.202,-24.192,24.192,422.233,0.562,0.000,400.000,1100,1900
2.212,-24.192,24.192,422.233,0.570,0.000,400.000,1100,1900
2.222,-24.192,24.192,422.233,0.579,0.000,400.000,1100,1900
2.232,-24.192,24.192,422.233,0.587,0.000,400.000,1100,1900
2.242,-24.192,24.192,422.233,0.595,0.000,400.000,1100,1900
2.252,-24.192,24.192,422.233,0.604,0.000,400.000,1100,1900
2.262,-24.192,24.192,422.233,0.612,0.000,400.000,1100,1900
2.272,-24.192,24.192,422.233,0.621,0.000,400.000,1100,1900
2.282,-24.192,24.192,422.233,0.629,0.000,400.000,1100,1900
2.292,-24.192,24.192,422.233,0.638,0.000,400.000,1100,1900
2.302,-24.192,24.192,422.233,0.646,0.000,400.000,1100,1900
2.312,-24.192,24.192,422.233,0.655,0.000,400.000,1100,1900
2.322,-24.192,24.192,422.233,0.663,0.000,400.000,1100,1900
2.332,-24.192,24.192,422.233,0.671,0.000,400.000,1100,1900
2.342,-24.192,24.192,422.233,0.680,0.000,400.000,1100,1900
2.352,-24.192,24.192,422.233,0.688,0.000,400.000,1100,1900
2.362,-24.192,24.192,422.233,0.697,0.000,400.000,1100,1900
2.372,-24.192,24.192,422.233,0.705,0.000,400.000,1100,1900
2.382,-24.192,24.192,422.233,0.714,0.000,400.000,1100,1900
2.392,-24.192,24.192,422.233,0.722,0.000,400.000,1100,1900
2.402,-24.192,24.192,422.233,0.731,0.000,400.000,1100,1900
2.412,-24.192,24.192,422.233,0.739,0.000,400.000,1100,1900
2.422,-24.192,24.192,422.233,0.747,0.000,400.000,1100,1900
2.432,-24.192,24.192,422.233,0.756,0.000,400.000,1100,1900
2.442,-24.192,24.192,422.233,0.764,0.000,400.000,1100,1900
2.452,-24.192,24.192,422.233,0.773,0.000,400.000,1100,1900
2.462,-24.192,24.192,422.233,0.781,0.000,400.000,1100,1900
2.472,-24.192,24.192,422.233,0.790,0.000,400.000,1100,1900
2.482,-24.192,24.192,422.233,0.798,0.000,400.000,1100,1900
2.492,-24.192,24.192,422.233,0.807,0.000,400.000,1100,1900
2.502,-24.192,24.192,422.233,0.815,0.000,400.000,1100,1900
2.512,-24.192,24.192,422.233,0.823,0.000,400.000,1100,1900
2.522,-24.192,24.192,422.233,0.832,0.000,400.000,1100,1900
2.532,-24.192,24.192,422.233,0.840,0.000,400.000,1100,1900
2.542,-24.192,24.192,422.233,0.849,0.000,400.000,1100,1900
2.552,-24.192,24.192,422.233,0.857,0.000,400.000,1100,1900
2.562,-24.192,24.192,422.233,0.866,0.000,400.000,1100,1900
2.572,-24.192,24.192,422.233,0.874,0.000,400.000,1100,1900
2.582,-24.192,24.192,422.233,0.882,0.000,400.000,1100,1900
2.592,-24.192,24.192,422.233,0.891,0.000,400.000,1100,1900
2.602,-24.192,24.192,422.233,0.899,0.000,400.000,1100,1900
2.612,-24.192,24.192,422.233,0.908,0.000,400.000,1100,1900
2.622,-24.192,24.192,422.233,0.916,0.000,400.000,1100,1900
2.632,-24.192,24.192,422.233,0.925,0.000,400.000,1100,1900
2.642,-24.192,24.192,422.233,0.933,0.000,400.000,1100,1900
2.652,-24.192,24.192,422.233,0.942,0.000,400.000,1100,1900
2.662,-24.192,24.192,422.233,0.950,0.000,400.000,1100,1900
2.672,-24.192,24.192,422.233,0.959,0.000,400.000,1100,1900
2.682,-24.192,24.192,422.233,0.967,0.000,400.000,1100,1900
2.692,-24.192,24.192,422.233,0.975,0.000,400.000,1100,1900
2.702,-24.192,24.192,422.233,0.984,0.000,400.000,1100,1900
2.712,-24.192,24.192,422.233,0.992,0.000,400.000,1100,1900
2.722,-24.192,24.192,422.233,1.001,0.000,400.000,1100,1900
2.732,-24.192,24.192,422.233,1.009,0.000,400.000,1100,1900
2.742,-24.192,24.192,422.233,1.018,0.000,400.000,1100,1900
2.752,-24.192,24.192,422.233,1.026,0.000,400.000,1100,1900
2.762,-24.192,24.192,422.233,1.035,0.000,400.000,1100,1900
2.772,-24.192,24.192,422.233,1.043,0.000,400.000,1100,1900
2.782,-24.192,24.192,422.233,1.051,0.000,400.000,1100,1900
2.792,-24.192,24.192,422.233,1.060,0.000,400.000,1100,1900
2.802,-24.192,24.192,422.233,1.068,0.000,400.000,1100,1900
2.812,-24.192,24.192,422.233,1.077,0.000,400.000,1100,1900
2.822,-24.192,24.192,422.233,1.085,0.000,400.000,1100,1900
2.832,-24.192,24.192,422.233,1.094,0.000,400.000,1100,1900
2.842,-24.192,24.192,422.233,1.102,0.000,400.000,1100,1900
2.852,-24.192,24.192,422.233,1.111,0.000,400.000,1100,1900
2.862,-24.192,24.192,422.233,1.119,0.000,400.000,1100,1900
2.872,-24.192,24.192,422.233,1.127,0.000,400.000,1100,1900
2.882,-24.818,24.818,433.162,1.136,43.773,400.000,1100,1900
2.892,-24.818,24.818,433.162,1.145,0.000,400.000,1100,1900
2.902,-24.818,24.818,433.162,1.153,0.000,400.000,1100,1900
2.912,-24.818,24.818,433.162,1.162,0.000,400.000,1100,1900
2.922,-24.818,24.818,433.162,1.171,0.000,400.000,1100,1900
2.932,-24.818,24.818,433.162,1.179,0.000,400.000,1100,1900
2.942,-24.818,24.818,433.162,1.188,0.000,400.000,1100,1900
2.952,-24.818,24.818,433.162,1.197,0.000,400.000,1100,1900
2.962,-24.818,24.818,433.162,1.205,0.000,400.000,1100,1900
2.972,-24.818,24.818,433.162,1.214,0.000,400.000,1100,1900
2.982,-24.818,24.818,433.162,1.223,0.000,400.000,1100,1900
2.992,-24.818,24.818,433.162,1.231,0.000,400.000,1100,1900
3.002,-24.818,24.818,433.162,1.240,0.000,400.000,1100,1900
3.012,-24.818,24.818,433.162,1.249,0.000,400.000,1100,1900
3.022,-24.818,24.818,433.162,1.257,0.000,400.000,1100,1900
3.032,-24.818,24.818,433.162,1.266,0.000,400.000,1100,1900
3.042,-24.818,24.818,433.162,1.275,0.000,400.000,1100,1900
3.052,-24.818,24.818,433.162,1.283,0.000,400.000,1100,1900
3.062,-24.818,24.818,433.162,1.292,0.000,400.000,1100,1900
3.072,-24.818,24.818,433.162,1.301,0.000,400.000,1100,1900
3.082,-24.818,24.818,433.162,1.309,0.000,400.000,1100,1900
3.092,-24.818,24.818,433.162,1.318,0.000,400.000,1100,1900
3.102,-24.818,24.818,433.162,1.327,0.000,400.000,1100,1900
3.112,-24.818,24.818,433.162,1.335,0.000,400.000,1100,1900
3.122,-24.818,24.818,433.162,1.344,0.000,400.000,1100,1900
3.132,-24.818,24.818,433.162,1.353,0.000,400.000,1100,1900
3.142,-24.818,24.818,433.162,1.361,0.000,400.000,1100,1900
3.152,-24.818,24.818,433.162,1.370,0.000,400.000,1100,1900
3.162,-24.818,24.818,433.162,1.379,0.000,400.000,1100,1900
3.172,-24.818,24.818,433.162,1.387,0.000,400.000,1100,1900
3.182,-24.818,24.818,433.162,1.396,0.000,400.000,1100,1900
3.192,-24.818,24.818,433.162,1.405,0.000,400.000,1100,1900
3.202,-24.818,24.818,433.162,1.413,0.000,400.000,1100,1900
3.212,-24.818,24.818,433.162,1.422,0.000,400.000,1100,1900
