timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.076,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.076,-12.910,12.910,0.000,0.000,0.000,0.000,1495,1505
1.086,-12.910,12.910,22.532,0.002,111.747,134.281,1500,1500
1.096,-12.910,12.910,22.532,0.005,0.000,22.537,1505,1495
1.106,-12.910,12.910,22.532,0.007,0.000,22.539,1510,1490
1.116,-12.910,12.910,22.532,0.009,0.000,22.541,1515,1485
1.126,-12.910,12.910,22.532,0.011,0.000,22.544,1520,1480
1.136,-12.910,12.910,22.532,0.014,0.000,22.546,1525,1475
1.146,-12.910,12.910,22.532,0.016,0.000,22.548,1530,1470
1.156,-12.910,12.910,22.532,0.018,0.000,22.550,1535,1465
1.166,-12.910,12.910,22.532,0.020,0.000,22.553,1540,1460
1.176,-12.910,12.910,22.532,0.023,0.000,22.555,1545,1455
1.186,-12.910,12.910,22.532,0.025,0.000,22.557,1550,1450
1.196,-12.910,12.910,22.532,0.027,0.000,22.559,1552,1448
1.206,-12.910,12.910,22.532,0.029,0.000,22.562,1552,1448
1.216,-12.910,12.910,22.532,0.032,0.000,22.564,1552,1448
1.226,-12.910,12.910,22.532,0.034,0.000,22.566,1552,1448
1.236,-12.910,12.910,22.532,0.036,0.000,22.568,1552,1448
1.246,-12.910,12.910,22.532,0.038,0.000,22.571,1552,1448
1.256,-12.910,12.910,22.532,0.041,0.000,22.573,1552,1448
1.266,-12.961,12.961,22.621,0.043,0.445,23.109,1553,1447
1.276,-12.961,12.961,22.621,0.045,0.000,22.666,1552,1448
1.286,-12.961,12.961,22.621,0.047,0.000,22.669,1552,1448
1.296,-12.961,12.961,22.621,0.050,0.000,22.671,1552,1448
1.306,-12.961,12.961,22.621,0.052,0.000,22.673,1552,1448
1.316,-12.961,12.961,22.621,0.054,0.000,22.675,1552,1448
1.326,-12.961,12.961,22.621,0.056,0.000,22.678,1552,1448
