timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.077,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.077,-6.818,6.818,0.000,0.000,0.000,0.000,1500,1500
1.087,-6.818,6.818,41.651,0.036,471.208,400.000,1495,1495
1.097,-6.818,6.818,41.651,0.072,0.000,41.722,1490,1490
1.107,-6.818,6.818,41.651,0.107,0.000,41.758,1485,1485
1.117,-6.818,6.818,41.651,0.143,0.000,41.794,1480,1480
1.127,-6.818,6.818,41.651,0.179,0.000,41.829,1475,1475
1.137,-6.818,6.818,41.651,0.214,0.000,41.865,1470,1470
1.147,-6.818,6.818,41.651,0.250,0.000,41.901,1465,1465
1.157,-6.818,6.818,41.651,0.286,0.000,41.936,1460,1460
1.167,-6.818,6.818,41.651,0.322,0.000,41.972,1455,1455
1.177,-6.818,6.818,41.651,0.357,0.000,42.008,1450,1450
1.187,-6.818,6.818,41.651,0.393,0.000,42.043,1445,1445
1.197,-6.818,6.818,41.651,0.429,0.000,42.079,1440,1440
1.207,-6.818,6.818,41.651,0.464,0.000,42.115,1435,1435
1.217,-6.818,6.818,41.651,0.500,0.000,42.151,1430,1430
1.227,-6.818,6.818,41.651,0.536,0.000,42.186,1428,1428
1.237,-6.818,6.818,41.651,0.572,0.000,42.222,1428,1428
1.247,-6.818,6.818,41.651,0.607,0.000,42.258,1428,1428
1.257,-6.818,6.818,41.651,0.643,0.000,42.294,1428,1428
1.267,-6.821,6.821,41.669,0.679,0.210,42.558,1428,1428
1.277,-6.821,6.821,41.669,0.714,0.000,42.383,1428,1428
1.287,-6.821,6.821,41.669,0.750,0.000,42.419,1428,1428
1.297,-6.821,6.821,41.669,0.786,0.000,42.455,1428,1428
1.307,-6.821,6.821,41.669,0.821,0.000,42.490,1428,1428
1.317,-6.821,6.821,41.669,0.857,0.000,42.526,1428,1428
1.327,-6.821,6.821,41.669,0.893,0.000,42.562,1428,1428
1.337,-6.821,6.821,41.669,0.929,0.000,42.598,1428,1428
1.347,-6.821,6.821,41.669,0.964,0.000,42.633,1428,1428
1.357,-6.821,6.821,41.669,1.000,0.000,42.669,1428,1428
1.367,-6.821,6.821,41.669,1.036,0.000,42.705,1428,1428
1.377,-6.821,6.821,41.669,1.071,0.000,42.740,1428,1428
1.387,-6.821,6.821,41.669,1.107,0.000,42.776,1428,1428
1.397,-6.821,6.821,41.669,1.143,0.000,42.812,1428,1428
1.407,-6.821,6.821,41.669,1.179,0.000,42.848,1428,1428
1.417,-6.821,6.821,41.669,1.214,0.000,42.883,1428,1428
1.427,-6.821,6.821,41.669,1.250,0.000,42.919,1428,1428
1.437,-6.821,6.821,41.669,1.286,0.000,42.955,1428,1428
1.447,-6.821,6.821,41.669,1.321,0.000,42.990,1428,1428
1.457,-6.821,6.821,41.669,1.357,0.000,43.026,1427,1427
1.467,-6.821,6.821,41.669,1.393,0.000,43.062,1427,1427
1.477,-6.821,6.821,41.669,1.429,0.000,43.098,1427,1427
1.487,-6.821,6.821,41.669,1.464,0.000,43.133,1427,1427
1.497,-6.821,6.821,41.669,1.500,0.000,43.169,1427,1427
1.507,-6.821,6.821,41.669,1.536,0.000,43.205,1427,1427
1.517,-6.741,6.741,41.176,1.571,-5.614,37.134,1432,1432
1.527,-6.741,6.741,41.176,1.606,0.000,42.783,1428,1428
1.537,-6.741,6.741,41.176,1.642,0.000,42.818,1428,1428
1.547,-6.741,6.741,41.176,1.677,0.000,42.853,1428,1428
1.557,-6.741,6.741,41.176,1.712,0.000,42.889,1428,1428
1.567,-6.741,6.741,41.176,1.748,0.000,42.924,1428,1428
