timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.024,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.025,-5.676,5.676,0.000,0.000,0.000,0.000,1495,1505
1.035,-5.676,5.676,11.887,0.000,9.808,21.695,1500,1500
1.045,-5.676,5.676,11.887,0.000,0.000,11.887,1505,1495
1.055,-5.676,5.676,11.887,0.000,0.000,11.887,1510,1490
1.065,-5.652,5.652,11.837,0.000,-0.041,11.797,1515,1485
1.075,-5.652,5.652,11.837,0.000,0.000,11.838,1520,1480
1.085,-5.652,5.652,11.837,0.001,0.000,11.838,1525,1475
1.095,-5.652,5.652,11.837,0.001,0.000,11.838,1530,1470
1.105,-5.652,5.652,11.837,0.001,0.000,11.838,1535,1465
1.115,-5.652,5.652,11.837,0.001,0.000,11.838,1540,1460
1.125,-5.652,5.652,11.837,0.001,0.000,11.838,1541,1459
1.135,-5.652,5.652,11.837,0.001,0.000,11.839,1541,1459
1.145,-5.652,5.652,11.837,0.001,0.000,11.839,1541,1459
1.155,-5.652,5.652,11.837,0.001,0.000,11.839,1541,1459
1.165,-5.652,5.652,11.837,0.001,0.000,11.839,1541,1459
1.175,-5.652,5.652,11.837,0.001,0.000,11.839,1541,1459
1.185,-5.652,5.652,11.837,0.002,0.000,11.839,1541,1459
1.195,-5.652,5.652,11.837,0.002,0.000,11.839,1541,1459
1.205,-5.652,5.652,11.837,0.002,0.000,11.839,1541,1459
1.215,-5.652,5.652,11.837,0.002,0.000,11.839,1541,1459
1.225,-5.652,5.652,11.837,0.002,0.000,11.839,1541,1459
1.235,-5.652,5.652,11.837,0.002,0.000,11.840,1541,1459
1.245,-5.652,5.652,11.837,0.002,0.000,11.840,1541,1459
1.255,-5.652,5.652,11.837,0.002,0.000,11.840,1541,1459
1.265,-5.652,5.652,11.837,0.002,0.000,11.840,1541,1459
1.275,-5.652,5.652,11.837,0.002,0.000,11.840,1541,1459
1.285,-5.652,5.652,11.837,0.003,0.000,11.840,1541,1459
1.295,-5.652,5.652,11.837,0.003,0.000,11.840,1541,1459
1.305,-5.652,5.652,11.837,0.003,0.000,11.840,1541,1459
1.315,-7.198,7.198,15.075,0.003,2.698,17.775,1546,1454
1.325,-7.198,7.198,15.075,0.003,0.000,15.078,1545,1455
1.335,-7.198,7.198,15.075,0.003,0.000,15.078,1545,1455
1.345,-7.198,7.198,15.075,0.003,0.000,15.078,1545,1455
1.355,-7.198,7.198,15.075,0.003,0.000,15.078,1545,1455
1.365,-7.198,7.198,15.075,0.004,0.000,15.078,1545,1455
1.375,-7.198,7.198,15.075,0.004,0.000,15.078,1545,1455
1.385,-7.198,7.198,15.075,0.004,0.000,15.078,1545,1455
1.395,-7.198,7.198,15.075,0.004,0.000,15.078,1545,1455
1.405,-7.198,7.198,15.075,0.004,0.000,15.079,1545,1455
1.415,-7.198,7.198,15.075,0.004,0.000,15.079,1545,1455
1.425,-7.198,7.198,15.075,0.004,0.000,15.079,1545,1455
1.435,-7.198,7.198,15.075,0.004,0.000,15.079,1545,1455
1.445,-7.198,7.198,15.075,0.005,0.000,15.079,1545,1455
1.455,-7.198,7.198,15.075,0.005,0.000,15.079,1545,1455
1.465,-7.198,7.198,15.075,0.005,0.000,15.079,1545,1455
1.475,-7.198,7.198,15.075,0.005,0.000,15.079,1545,1455
1.485,-7.198,7.198,15.075,0.005,0.000,15.080,1545,1455
1.495,-7.198,7.198,15.075,0.005,0.000,15.080,1545,1455
1.505,-7.198,7.198,15.075,0.005,0.000,15.080,1545,1455
1.515,-7.198,7.198,15.075,0.005,0.000,15.080,1545,1455
1.525,-7.198,7.198,15.075,0.006,0.000,15.080,1545,1455
1.535,-7.198,7.198,15.075,0.006,0.000,15.080,1545,1455
1.545,-7.198,7.198,15.075,0.006,0.000,15.080,1545,1455
1.555,-7.198,7.198,15.075,0.006,0.000,15.080,1545,1455
