timestamp,pitch_deg,pitch_error_deg,pitch_p,pitch_i,pitch_d,pitch_output,altitude,altitude_error,altitude_p,altitude_i,altitude_d,altitude_output,motor3_pwm,motor4_pwm
1.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,1500,1500
1.032,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.000,2106.078,400.000,1497,1497
1.042,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.002,0.000,121.362,1494,1494
1.052,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.003,0.000,121.363,1491,1491
1.062,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.005,0.000,121.365,1488,1488
1.072,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.006,0.000,121.366,1485,1485
1.082,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.007,0.000,121.367,1482,1482
1.092,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.009,0.000,121.369,1479,1479
1.102,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.010,0.000,121.370,1476,1476
1.112,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.012,0.000,121.372,1473,1473
1.122,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.013,0.000,121.373,1470,1470
1.132,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.015,0.000,121.375,1467,1467
1.142,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.016,0.000,121.376,1464,1464
1.152,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.018,0.000,121.378,1461,1461
1.162,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.019,0.000,121.379,1458,1458
1.172,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.021,0.000,121.381,1455,1455
1.182,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.022,0.000,121.382,1452,1452
1.192,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.024,0.000,121.384,1449,1449
1.202,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.025,0.000,121.385,1446,1446
1.212,-2.230,2.230,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.027,0.000,121.387,1443,1443
1.222,-2.975,2.975,0.000,0.000,0.000,0.000,0.052,0.148,121.360,0.028,0.000,121.388,1440,1440
1.232,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.030,1.000,124.029,1437,1437
1.242,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.031,0.000,123.031,1434,1434
1.252,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.033,0.000,123.033,1431,1431
1.262,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.034,0.000,123.034,1428,1428
1.272,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.036,0.000,123.036,1425,1425
1.282,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.037,0.000,123.037,1422,1422
1.292,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.039,0.000,123.039,1419,1419
1.302,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.040,0.000,123.040,1416,1416
1.312,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.042,0.000,123.042,1413,1413
1.322,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.043,0.000,123.043,1410,1410
1.332,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.045,0.000,123.045,1407,1407
1.342,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.046,0.000,123.046,1404,1404
1.352,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.048,0.000,123.048,1401,1401
1.362,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.049,0.000,123.049,1398,1398
1.372,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.051,0.000,123.051,1395,1395
1.382,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.052,0.000,123.052,1392,1392
1.392,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.054,0.000,123.054,1389,1389
1.402,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.055,0.000,123.055,1386,1386
1.412,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.057,0.000,123.057,1383,1383
1.422,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.058,0.000,123.058,1380,1380
1.432,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.060,0.000,123.060,1377,1377
1.442,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.061,0.000,123.061,1376,1376
1.452,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.063,0.000,123.063,1376,1376
1.462,-2.975,2.975,0.000,0.000,0.000,0.000,0.050,0.150,123.000,0.064,0.000,123.064,1376,1376
1.472,-10.175,10.175,0.000,0.000,0.000,0.000,0.068,0.132,108.240,0.066,-8.987,99.319,1378,1378
1.482,-10.175,10.175,21.311,0.000,17.793,39.105,0.068,0.132,108.240,0.067,0.000,108.307,1380,1375
1.492,-10.175,10.175,21.311,0.000,0.000,21.312,0.068,0.132,108.240,0.068,0.000,108.308,1382,1372
1.502,-10.175,10.175,21.311,0.001,0.000,21.312,0.068,0.132,108.240,0.069,0.000,108.309,1384,1369
1.512,-10.175,10.175,21.311,0.001,0.000,21.312,0.068,0.132,108.240,0.071,0.000,108.311,1386,1366
1.522,-10.175,10.175,21.311,0.001,0.000,21.312,0.068,0.132,108.240,0.072,0.000,108.312,1388,1363
1.532,-10.175,10.175,21.311,0.001,0.000,21.312,0.068,0.132,108.240,0.073,0.000,108.313,1390,1360
1.542,-10.175,10.175,21.311,0.001,0.000,21.313,0.068,0.132,108.240,0.075,0.000,108.315,1392,1357
1.552,-10.175,10.175,21.311,0.001,0.000,21.313,0.068,0.132,108.240,0.076,0.000,108.316,1394,1354
1.562,-10.175,10.175,21.311,0.002,0.000,21.313,0.068,0.132,108.240,0.077,0.000,108.317,1396,1351
1.572,-10.175,10.175,21.311,0.002,0.000,21.313,0.068,0.132,108.240,0.079,0.000,108.319,1398,1348
1.582,-10.175,10.175,21.311,0.002,0.000,21.313,0.068,0.132,108.240,0.080,0.000,108.320,1400,1345
1.592,-10.175,10.175,21.311,0.002,0.000,21.313,0.068,0.132,108.240,0.081,0.000,108.321,1402,1342
1.602,-10.175,10.175,21.311,0.002,0.000,21.314,0.068,0.132,108.240,0.083,0.000,108.323,1404,1340
